Freq.,IR2,fase
1.00000000000000e+000,-1.73007816559462e-004,1.79640004787978e+002
1.25892541179417e+000,-2.74195728899083e-004,1.79546796404894e+002
1.58489319246111e+000,-4.34562952111032e-004,1.79429457511312e+002
1.99526231496888e+000,-6.88715790717822e-004,1.79281743596171e+002
2.51188643150958e+000,-1.09149055027309e-003,1.79095796759390e+002
3.16227766016838e+000,-1.72976931873475e-003,1.78861731419012e+002
3.98107170553497e+000,-2.74118163298716e-003,1.78567116180055e+002
5.01187233627272e+000,-4.34368168753432e-003,1.78196328383143e+002
6.30957344480194e+000,-6.88226726379935e-003,1.77729755133430e+002
7.94328234724282e+000,-1.09026290861909e-002,1.77142814480346e+002
1.00000000000000e+001,-1.72668893025863e-002,1.76404776702837e+002
1.25892541179417e+001,-2.73345717851100e-002,1.75477386060230e+002
1.58489319246111e+001,-4.32433077690176e-002,1.74313332834813e+002
1.99526231496888e+001,-6.83386568180453e-002,1.72854731673772e+002
2.51188643150958e+001,-1.07818595828275e-001,1.71031972868327e+002
3.16227766016838e+001,-1.69666973038952e-001,1.68763700734732e+002
3.98107170553498e+001,-2.65927890797614e-001,1.65959318150241e+002
5.01187233627273e+001,-4.14268147899931e-001,1.62526316547164e+002
6.30957344480194e+001,-6.39502212666276e-001,1.58385534975466e+002
7.94328234724283e+001,-9.74240597825831e-001,1.53496950529816e+002
1.00000000000000e+002,-1.45719792477139e+000,1.47894411190319e+002
1.25892541179417e+002,-2.12763131033246e+000,1.41717954477189e+002
1.58489319246112e+002,-3.01601812039490e+000,1.35221319878516e+002
1.99526231496888e+002,-4.13450163287318e+000,1.28734632486477e+002
2.51188643150958e+002,-5.47282670744558e+000,1.22588890384565e+002
3.16227766016838e+002,-7.00274632180915e+000,1.17040387154871e+002
3.98107170553498e+002,-8.68803611481511e+000,1.12233333491201e+002
5.01187233627273e+002,-1.04945069440078e+001,1.08207574201631e+002
6.30957344480194e+002,-1.23966366188312e+001,1.04931607183429e+002
7.94328234724283e+002,-1.43809836493920e+001,1.02338788122387e+002
1.00000000000000e+003,-1.64484390571707e+001,1.00356002418471e+002
1.25892541179417e+003,-1.86178482967046e+001,9.89248489642354e+001
1.58489319246112e+003,-2.09342127758100e+001,9.80222815536871e+001
1.99526231496888e+003,-2.34877540544011e+001,9.76967661334738e+001
2.51188643150959e+003,-2.64615262223879e+001,9.81689507293619e+001
3.16227766016839e+003,-3.02731245490747e+001,1.00224238464472e+002
3.98107170553498e+003,-3.61560477823663e+001,1.07749975542169e+002
5.01187233627273e+003,-4.68731025741047e+001,1.76677754751673e+002
6.30957344480195e+003,-3.64496471924103e+001,-1.08318390366528e+002
7.94328234724283e+003,-3.04383372091238e+001,-1.00355142782816e+002
1.00000000000000e+004,-2.65817935642272e+001,-9.82077881543765e+001
1.25892541179417e+004,-2.35870807916685e+001,-9.76977192849178e+001
1.58489319246112e+004,-2.10222622557893e+001,-9.79996814909531e+001
1.99526231496889e+004,-1.86992138812030e+001,-9.88827041094797e+001
2.51188643150959e+004,-1.65254425028165e+001,-1.00294503025466e+002
3.16227766016839e+004,-1.44547322513362e+001,-1.02256330664366e+002
3.98107170553498e+004,-1.24674702026828e+001,-1.04825693032967e+002
5.01187233627274e+004,-1.05621919003888e+001,-1.08075509573496e+002
6.30957344480195e+004,-8.75185711510436e+000,-1.12073107436949e+002
7.94328234724284e+004,-7.06159392960716e+000,-1.16851873446342e+002
1.00000000000000e+005,-5.52536874851981e+000,-1.22375213718834e+002
1.25892541179417e+005,-4.17949229965621e+000,-1.28503081585559e+002
1.58489319246112e+005,-3.05269403587641e+000,-1.34982905956600e+002
1.99526231496889e+005,-2.15601051792819e+000,-1.41485226969469e+002
2.51188643150959e+005,-1.47809174211388e+000,-1.47678423149036e+002
3.16227766016839e+005,-9.88976238127415e-001,-1.53305023348369e+002
3.98107170553499e+005,-6.49546477111165e-001,-1.58220752999560e+002
5.01187233627274e+005,-4.20944042187459e-001,-1.62388391764771e+002
6.30957344480196e+005,-2.70286981340223e-001,-1.65845916898261e+002
7.94328234724285e+005,-1.72479257827760e-001,-1.68671584228151e+002
1.00000000000000e+006,-1.09618583352196e-001,-1.70957742244500e+002
1.25892541179417e+006,-6.94847877820391e-002,-1.72795224376206e+002
1.58489319246112e+006,-4.39706765605940e-002,-1.74265787845196e+002
1.99526231496889e+006,-2.77952021137297e-002,-1.75439479748836e+002
2.51188643150959e+006,-1.75582049147428e-002,-1.76374596067775e+002
3.16227766016839e+006,-1.10867075671778e-002,-1.77118805640193e+002
3.98107170553499e+006,-6.99852098293649e-003,-1.77710666393984e+002
5.01187233627275e+006,-4.41707590620408e-003,-1.78181156703740e+002
6.30957344480196e+006,-2.78750742152478e-003,-1.78555060394449e+002
7.94328234724285e+006,-1.75900575378562e-003,-1.78852152915271e+002
1.00000000000000e+007,-1.10994021720864e-003,-1.79088187153895e+002
