time,I(C1)
0.000000000000000e+000,0.000000e+000
4.156214027236119e-007,4.506807e-008
8.312428054472238e-007,1.772245e-007
1.246864208170836e-006,3.964693e-007
1.662485610894448e-006,7.028025e-007
2.078107013618060e-006,1.096224e-006
2.493728416341671e-006,1.576734e-006
2.909349819065282e-006,2.144332e-006
3.628768585203309e-006,3.326247e-006
4.532011834212881e-006,5.168659e-006
5.658648808382510e-006,8.018312e-006
7.073963818791879e-006,1.244972e-005
8.847251580367733e-006,1.930591e-005
1.108255834854798e-005,2.994098e-005
1.390346438709803e-005,4.637171e-005
1.749093124908770e-005,7.113399e-005
2.000000000000000e-005,9.050996e-005
2.137855393684180e-005,1.026486e-004
2.321662585263087e-005,1.198403e-004
2.677269135079417e-005,1.560459e-004
3.388482234712077e-005,2.358863e-004
4.466460583333261e-005,3.648561e-004
5.835502728540766e-005,5.239766e-004
7.344004363737311e-005,6.666874e-004
9.108743218251190e-005,7.609298e-004
1.120937409681282e-004,7.628829e-004
1.370742686021185e-004,6.540030e-004
1.539253735610082e-004,5.408970e-004
1.687852224760372e-004,4.408827e-004
1.853092846361784e-004,3.604487e-004
2.027360106624072e-004,3.263081e-004
2.238921541720902e-004,3.477196e-004
2.395183596983162e-004,3.987757e-004
2.562810371949237e-004,4.709816e-004
2.777199095092621e-004,5.536335e-004
2.980831131507909e-004,5.970795e-004
3.246533088328273e-004,5.930410e-004
3.518522824518951e-004,5.411093e-004
3.727932289206277e-004,4.883647e-004
3.946769126591066e-004,4.475596e-004
4.193588041059230e-004,4.368103e-004
4.507426243769294e-004,4.649539e-004
4.733541986189631e-004,4.990499e-004
4.990789284231507e-004,5.301564e-004
5.289714694384669e-004,5.372468e-004
5.681871287721932e-004,5.123044e-004
5.956317455785296e-004,4.888450e-004
6.274292849999984e-004,4.756972e-004
6.626381032482178e-004,4.840830e-004
6.965176929208404e-004,5.024181e-004
7.341751755413525e-004,5.143195e-004
7.762790880537771e-004,5.090637e-004
8.207464327597500e-004,4.958308e-004
8.687759863834982e-004,4.915177e-004
9.690831573154746e-004,5.053706e-004
1.100704876033035e-003,4.969536e-004
1.264962964118671e-003,5.017804e-004
1.458694005704737e-003,4.992997e-004
1.571213583770113e-003,5.007405e-004
8.589070641672716e-003,5.000016e-004
1.000000000000000e-002,4.980020e-004
1.000348319613719e-002,4.904181e-004
1.001044958841156e-002,4.605521e-004
1.002438237296030e-002,3.571915e-004
1.003729433586789e-002,2.252566e-004
1.004679817298493e-002,1.121422e-004
1.005382588353896e-002,2.659378e-005
1.006089164122031e-002,-5.515592e-005
1.006773124438939e-002,-1.245449e-004
1.007926832372995e-002,-2.150972e-004
1.009209096511940e-002,-2.702342e-004
1.011105016033075e-002,-2.767803e-004
1.012256367981203e-002,-2.403340e-004
1.013324910567623e-002,-1.785084e-004
1.014290317774519e-002,-1.107725e-004
1.015134955093398e-002,-4.758612e-005
1.015759377166547e-002,-1.740901e-006
1.016613363672080e-002,5.610224e-005
1.017421034290248e-002,1.015005e-004
1.018746201192248e-002,1.525957e-004
1.020160974793869e-002,1.710177e-004
1.022495372666538e-002,1.413968e-004
1.023715465256747e-002,1.026238e-004
1.024594989944451e-002,6.440481e-005
1.025383294926390e-002,2.799906e-005
1.025999223751851e-002,2.164582e-007
1.026840781972681e-002,-3.474217e-005
1.027663088836833e-002,-6.305397e-005
1.028983066896649e-002,-9.407702e-005
1.030413524504802e-002,-1.051410e-004
1.032751460871631e-002,-8.626307e-005
1.033982889449526e-002,-6.192252e-005
1.034861268466107e-002,-3.835934e-005
1.035641443334324e-002,-1.618930e-005
1.036242573306992e-002,4.632450e-007
1.037069357546102e-002,2.152587e-005
1.037902547969731e-002,3.910029e-005
1.039220721244243e-002,5.799827e-005
1.040664602382363e-002,6.463977e-005
1.043009279965788e-002,5.261877e-005
1.044251035773789e-002,3.736120e-005
1.045127594007626e-002,2.284610e-005
1.045899472585000e-002,9.349504e-006
1.046485738113774e-002,-6.261767e-007
1.047297794636475e-002,-1.331723e-005
1.048141322692625e-002,-2.422376e-005
1.049457348195453e-002,-3.574508e-005
1.050913975561293e-002,-3.974285e-005
1.053263645654759e-002,-3.213303e-005
1.054513316796531e-002,-2.260302e-005
1.055387990075376e-002,-1.366742e-005
1.056152721079238e-002,-5.440578e-006
1.056729546588617e-002,5.895042e-007
1.057526258083849e-002,8.229950e-006
1.058380983723889e-002,1.500684e-005
1.059692460306949e-002,2.202269e-005
1.061163013674988e-002,2.443621e-005
1.063514375351670e-002,1.964546e-005
1.064769757587680e-002,1.371086e-005
1.065642687655271e-002,8.211969e-006
1.066401457878646e-002,3.191738e-006
1.066988992324992e-002,-5.809246e-007
1.067758828939090e-002,-5.104740e-006
1.068638061497968e-002,-9.369636e-006
1.069932875119616e-002,-1.357879e-005
1.071434529220454e-002,-1.501758e-005
1.073782026198257e-002,-1.196707e-005
1.075044617874585e-002,-8.247964e-006
1.075914561739806e-002,-4.864261e-006
1.076663945703919e-002,-1.815516e-006
1.077268103993815e-002,5.652383e-007
1.077996518415928e-002,3.181744e-006
1.078916596500940e-002,5.902169e-006
1.080186310771674e-002,8.388362e-006
1.081740126110604e-002,9.219078e-006
1.084086786035440e-002,7.226828e-006
1.085359722230813e-002,4.869667e-006
1.086222689014908e-002,2.791628e-006
1.086954617154617e-002,9.616617e-007
1.087587195732937e-002,-5.651570e-007
1.088245122014640e-002,-2.002037e-006
1.089244442159170e-002,-3.787788e-006
1.090472916083153e-002,-5.205686e-006
1.092129032904064e-002,-5.700897e-006
1.094128513448773e-002,-4.673956e-006
1.095287541485699e-002,-3.376163e-006
1.096175009695419e-002,-2.086933e-006
1.096970234454751e-002,-8.665433e-007
1.097569923704621e-002,3.079151e-008
1.098395677279954e-002,1.166799e-006
1.099229274593123e-002,2.115938e-006
1.100548832794550e-002,3.136112e-006
1.101994084507673e-002,3.492335e-006
1.104343481403362e-002,2.836024e-006
1.105588660313926e-002,2.007015e-006
1.106464522365055e-002,1.222493e-006
1.107233778956441e-002,4.955920e-007
1.107815553474302e-002,-3.911150e-008
1.108623179525371e-002,-7.206379e-007
1.109469716614622e-002,-1.311537e-006
1.110785018460602e-002,-1.932537e-006
1.112245347429699e-002,-2.147290e-006
1.114596133113434e-002,-1.732981e-006
1.115847743215826e-002,-1.215980e-006
1.116721864837023e-002,-7.330619e-007
1.117484689111458e-002,-2.896427e-007
1.118064935194362e-002,3.798425e-008
1.118853042000219e-002,4.458915e-007
1.119715451985669e-002,8.147545e-007
1.121021559761578e-002,1.190888e-006
1.122501848916360e-002,1.320097e-006
1.124851709149131e-002,1.058442e-006
1.126109423488890e-002,7.358692e-007
1.126981514913107e-002,4.386658e-007
1.127737434850227e-002,1.684370e-007
1.128330132761081e-002,-3.706935e-008
1.129087075339177e-002,-2.769672e-007
1.129978606631072e-002,-5.100113e-007
1.131265535155836e-002,-7.346671e-007
1.132782854854746e-002,-8.110592e-007
1.135129394786448e-002,-6.432591e-007
1.136395336529595e-002,-4.404374e-007
1.137263440238166e-002,-2.576281e-007
1.138007796945908e-002,-9.402847e-008
1.138620444057843e-002,3.626527e-008
1.139327785001847e-002,1.731018e-007
1.140270196616489e-002,3.229238e-007
1.141527393606595e-002,4.543858e-007
1.143109893098355e-002,5.010702e-007
1.145215833467980e-002,4.103046e-007
1.146401641077795e-002,2.952240e-007
1.147286880752138e-002,1.822605e-007
1.148674616379127e-002,-2.895721e-009
