Freq.,IR2,fase
1.00000000000000e+000,-5.01029923895741e+001,-1.79946675045877e+002
1.00925288607668e+000,-5.01029922561471e+001,-1.79946181637013e+002
1.01859138805412e+000,-5.01029921202395e+001,-1.79945683662716e+002
1.02801629812647e+000,-5.01029919818052e+001,-1.79945181080745e+002
1.03752841581801e+000,-5.01029918407973e+001,-1.79944673848465e+002
1.04712854805090e+000,-5.01029916971678e+001,-1.79944161922849e+002
1.05681750921366e+000,-5.01029915508681e+001,-1.79943645260471e+002
1.06659612123026e+000,-5.01029914018484e+001,-1.79943123817503e+002
1.07646521362984e+000,-5.01029912500583e+001,-1.79942597549710e+002
1.08642562361707e+000,-5.01029910954461e+001,-1.79942066412451e+002
1.09647819614319e+000,-5.01029909379596e+001,-1.79941530360669e+002
1.10662378397767e+000,-5.01029907775451e+001,-1.79940989348892e+002
1.11686324778056e+000,-5.01029906141483e+001,-1.79940443331226e+002
1.12719745617551e+000,-5.01029904477138e+001,-1.79939892261354e+002
1.13762728582343e+000,-5.01029902781850e+001,-1.79939336092529e+002
1.14815362149688e+000,-5.01029901055045e+001,-1.79938774777572e+002
1.15877735615513e+000,-5.01029899296136e+001,-1.79938208268867e+002
1.16949939101987e+000,-5.01029897504526e+001,-1.79937636518357e+002
1.18032063565173e+000,-5.01029895679608e+001,-1.79937059477543e+002
1.19124200802738e+000,-5.01029893820763e+001,-1.79936477097475e+002
1.20226443461741e+000,-5.01029891927359e+001,-1.79935889328750e+002
1.21338885046498e+000,-5.01029889998754e+001,-1.79935296121508e+002
1.22461619926505e+000,-5.01029888034293e+001,-1.79934697425430e+002
1.23594743344451e+000,-5.01029886033311e+001,-1.79934093189728e+002
1.24738351424295e+000,-5.01029883995128e+001,-1.79933483363146e+002
1.25892541179417e+000,-5.01029881919052e+001,-1.79932867893953e+002
1.27057410520854e+000,-5.01029879804380e+001,-1.79932246729942e+002
1.28233058265602e+000,-5.01029877650392e+001,-1.79931619818418e+002
1.29419584144999e+000,-5.01029875456360e+001,-1.79930987106203e+002
1.30617088813184e+000,-5.01029873221537e+001,-1.79930348539625e+002
1.31825673855641e+000,-5.01029870945166e+001,-1.79929704064515e+002
1.33045441797809e+000,-5.01029868626474e+001,-1.79929053626205e+002
1.34276496113787e+000,-5.01029866264675e+001,-1.79928397169518e+002
1.35518941235104e+000,-5.01029863858967e+001,-1.79927734638769e+002
1.36772882559585e+000,-5.01029861408533e+001,-1.79927065977756e+002
1.38038426460289e+000,-5.01029858912543e+001,-1.79926391129760e+002
1.39315680294531e+000,-5.01029856370149e+001,-1.79925710037533e+002
1.40604752412992e+000,-5.01029853780488e+001,-1.79925022643302e+002
1.41905752168910e+000,-5.01029851142682e+001,-1.79924328888755e+002
1.43218789927355e+000,-5.01029848455836e+001,-1.79923628715043e+002
1.44543977074593e+000,-5.01029845719038e+001,-1.79922922062772e+002
1.45881426027535e+000,-5.01029842931360e+001,-1.79922208872000e+002
1.47231250243272e+000,-5.01029840091854e+001,-1.79921489082227e+002
1.48593564228701e+000,-5.01029837199559e+001,-1.79920762632396e+002
1.49968483550238e+000,-5.01029834253492e+001,-1.79920029460885e+002
1.51356124843621e+000,-5.01029831252654e+001,-1.79919289505501e+002
1.52756605823808e+000,-5.01029828196026e+001,-1.79918542703475e+002
1.54170045294957e+000,-5.01029825082572e+001,-1.79917788991458e+002
1.55596563160508e+000,-5.01029821911235e+001,-1.79917028305516e+002
1.57036280433356e+000,-5.01029818680938e+001,-1.79916260581122e+002
1.58489319246112e+000,-5.01029815390586e+001,-1.79915485753153e+002
1.59955802861468e+000,-5.01029812039062e+001,-1.79914703755882e+002
1.61435855682649e+000,-5.01029808625228e+001,-1.79913914522975e+002
1.62929603263973e+000,-5.01029805147928e+001,-1.79913117987485e+002
1.64437172321494e+000,-5.01029801605979e+001,-1.79912314081844e+002
1.65958690743757e+000,-5.01029797998182e+001,-1.79911502737861e+002
1.67494287602645e+000,-5.01029794323311e+001,-1.79910683886711e+002
1.69044093164327e+000,-5.01029790580119e+001,-1.79909857458934e+002
1.70608238900313e+000,-5.01029786767336e+001,-1.79909023384430e+002
1.72186857498602e+000,-5.01029782883669e+001,-1.79908181592445e+002
1.73780082874938e+000,-5.01029778927800e+001,-1.79907332011574e+002
1.75388050184177e+000,-5.01029774898386e+001,-1.79906474569752e+002
1.77010895831743e+000,-5.01029770794060e+001,-1.79905609194245e+002
1.78648757485206e+000,-5.01029766613429e+001,-1.79904735811647e+002
1.80301774085958e+000,-5.01029762355076e+001,-1.79903854347873e+002
1.81970085860999e+000,-5.01029758017554e+001,-1.79902964728152e+002
1.83653834334836e+000,-5.01029753599392e+001,-1.79902066877024e+002
1.85353162341482e+000,-5.01029749099091e+001,-1.79901160718326e+002
1.87068214036581e+000,-5.01029744515123e+001,-1.79900246175194e+002
1.88799134909630e+000,-5.01029739845934e+001,-1.79899323170053e+002
1.90546071796326e+000,-5.01029735089939e+001,-1.79898391624608e+002
1.92309172891017e+000,-5.01029730245524e+001,-1.79897451459841e+002
1.94088587759279e+000,-5.01029725311045e+001,-1.79896502596004e+002
1.95884467350600e+000,-5.01029720284828e+001,-1.79895544952609e+002
1.97696964011187e+000,-5.01029715165167e+001,-1.79894578448426e+002
1.99526231496889e+000,-5.01029709950326e+001,-1.79893603001470e+002
2.01372424986240e+000,-5.01029704638534e+001,-1.79892618529001e+002
2.03235701093623e+000,-5.01029699227989e+001,-1.79891624947513e+002
2.05116217882558e+000,-5.01029693716856e+001,-1.79890622172725e+002
2.07014134879106e+000,-5.01029688103264e+001,-1.79889610119578e+002
2.08929613085405e+000,-5.01029682385308e+001,-1.79888588702227e+002
2.10862814993330e+000,-5.01029676561049e+001,-1.79887557834032e+002
2.12813904598273e+000,-5.01029670628510e+001,-1.79886517427551e+002
2.14783047413055e+000,-5.01029664585677e+001,-1.79885467394533e+002
2.16770410481971e+000,-5.01029658430501e+001,-1.79884407645912e+002
2.18776162394957e+000,-5.01029652160893e+001,-1.79883338091796e+002
2.20800473301892e+000,-5.01029645774725e+001,-1.79882258641464e+002
2.22843514927032e+000,-5.01029639269830e+001,-1.79881169203353e+002
2.24905460583580e+000,-5.01029632644002e+001,-1.79880069685055e+002
