Freq.,IV1,fase
1.00000000000000e+000,-4.68484456645937e+001,-1.79922436410953e+002
1.00925288607668e+000,-4.68484455167579e+001,-1.79921718724788e+002
1.01859138805412e+000,-4.68484453661736e+001,-1.79920994397979e+002
1.02801629812647e+000,-4.68484452127898e+001,-1.79920263369082e+002
1.03752841581801e+000,-4.68484450565543e+001,-1.79919525576085e+002
1.04712854805090e+000,-4.68484448974143e+001,-1.79918780956400e+002
1.05681750921366e+000,-4.68484447353156e+001,-1.79918029446862e+002
1.06659612123026e+000,-4.68484445702032e+001,-1.79917270983720e+002
1.07646521362984e+000,-4.68484444020212e+001,-1.79916505502634e+002
1.08642562361707e+000,-4.68484442307125e+001,-1.79915732938669e+002
1.09647819614319e+000,-4.68484440562189e+001,-1.79914953226289e+002
1.10662378397767e+000,-4.68484438784812e+001,-1.79914166299351e+002
1.11686324778056e+000,-4.68484436974392e+001,-1.79913372091101e+002
1.12719745617551e+000,-4.68484435130314e+001,-1.79912570534166e+002
1.13762728582343e+000,-4.68484433251951e+001,-1.79911761560550e+002
1.14815362149688e+000,-4.68484431338667e+001,-1.79910945101629e+002
1.15877735615513e+000,-4.68484429389813e+001,-1.79910121088144e+002
1.16949939101987e+000,-4.68484427404727e+001,-1.79909289450193e+002
1.18032063565173e+000,-4.68484425382736e+001,-1.79908450117230e+002
1.19124200802738e+000,-4.68484423323153e+001,-1.79907603018054e+002
1.20226443461741e+000,-4.68484421225279e+001,-1.79906748080807e+002
1.21338885046498e+000,-4.68484419088404e+001,-1.79905885232966e+002
1.22461619926505e+000,-4.68484416911800e+001,-1.79905014401334e+002
1.23594743344451e+000,-4.68484414694731e+001,-1.79904135512041e+002
1.24738351424295e+000,-4.68484412436444e+001,-1.79903248490532e+002
1.25892541179417e+000,-4.68484410136172e+001,-1.79902353261560e+002
1.27057410520854e+000,-4.68484407793135e+001,-1.79901449749185e+002
1.28233058265602e+000,-4.68484405406538e+001,-1.79900537876762e+002
1.29419584144999e+000,-4.68484402975571e+001,-1.79899617566939e+002
1.30617088813184e+000,-4.68484400499409e+001,-1.79898688741646e+002
1.31825673855641e+000,-4.68484397977212e+001,-1.79897751322093e+002
1.33045441797809e+000,-4.68484395408123e+001,-1.79896805228759e+002
1.34276496113787e+000,-4.68484392791272e+001,-1.79895850381388e+002
1.35518941235104e+000,-4.68484390125771e+001,-1.79894886698981e+002
1.36772882559585e+000,-4.68484387410714e+001,-1.79893914099791e+002
1.38038426460289e+000,-4.68484384645180e+001,-1.79892932501314e+002
1.39315680294531e+000,-4.68484381828232e+001,-1.79891941820281e+002
1.40604752412992e+000,-4.68484378958913e+001,-1.79890941972655e+002
1.41905752168910e+000,-4.68484376036249e+001,-1.79889932873620e+002
1.43218789927355e+000,-4.68484373059249e+001,-1.79888914437576e+002
1.44543977074593e+000,-4.68484370026903e+001,-1.79887886578130e+002
1.45881426027535e+000,-4.68484366938182e+001,-1.79886849208091e+002
1.47231250243272e+000,-4.68484363792037e+001,-1.79885802239461e+002
1.48593564228701e+000,-4.68484360587401e+001,-1.79884745583426e+002
1.49968483550238e+000,-4.68484357323187e+001,-1.79883679150352e+002
1.51356124843621e+000,-4.68484353998287e+001,-1.79882602849777e+002
1.52756605823808e+000,-4.68484350611572e+001,-1.79881516590398e+002
1.54170045294957e+000,-4.68484347161894e+001,-1.79880420280072e+002
1.55596563160508e+000,-4.68484343648083e+001,-1.79879313825800e+002
1.57036280433356e+000,-4.68484340068944e+001,-1.79878197133723e+002
1.58489319246112e+000,-4.68484336423265e+001,-1.79877070109116e+002
1.59955802861468e+000,-4.68484332709808e+001,-1.79875932656375e+002
1.61435855682649e+000,-4.68484328927313e+001,-1.79874784679012e+002
1.62929603263973e+000,-4.68484325074497e+001,-1.79873626079647e+002
1.64437172321494e+000,-4.68484321150051e+001,-1.79872456759999e+002
