Freq.,V(n001),fase
1.00000000000000e+000,6.87499877135977e-001,-2.90842705485368e-004
1.25892541179417e+000,6.87499805273667e-001,-3.66149234556280e-004
1.58489319246111e+000,6.87499691379611e-001,-4.60954499644516e-004
1.99526231496888e+000,6.87499510869774e-001,-5.80307181149914e-004
2.51188643150958e+000,6.87499224781157e-001,-7.30563153450369e-004
3.16227766016838e+000,6.87498771361742e-001,-9.19723913146106e-004
3.98107170553497e+000,6.87498052741621e-001,-1.15786259765977e-003
5.01187233627272e+000,6.87496913808555e-001,-1.45766023642230e-003
6.30957344480194e+000,6.87495108729010e-001,-1.83508070256252e-003
7.94328234724282e+000,6.87492247890112e-001,-2.31022013034349e-003
1.00000000000000e+001,6.87487713814708e-001,-2.90837567699851e-003
1.25892541179417e+001,6.87480527911771e-001,-3.66138983434500e-003
1.58489319246111e+001,6.87469139330327e-001,-4.60934046309200e-003
1.99526231496888e+001,6.87451090416744e-001,-5.80266372461114e-003
2.51188643150958e+001,6.87422486754528e-001,-7.30481732827682e-003
3.16227766016838e+001,6.87377157872525e-001,-9.19561468447815e-003
3.98107170553498e+001,6.87305328660093e-001,-1.15753851202753e-002
5.01187233627273e+001,6.87191517725477e-001,-1.45701370854414e-002
6.30957344480194e+001,6.87011216611825e-001,-1.83379105113901e-002
7.94328234724283e+001,6.86725652011825e-001,-2.30764801597355e-002
1.00000000000000e+002,6.86273547791343e-001,-2.90324704103335e-002
1.25892541179417e+002,6.85558227008881e-001,-3.65116761557549e-002
1.58489319246112e+002,6.84427564516986e-001,-4.58897837510265e-002
1.99526231496888e+002,6.82643192397105e-001,-5.76214282653295e-002
2.51188643150958e+002,6.79834102224803e-001,-7.22430300293294e-002
3.16227766016838e+002,6.75428967432624e-001,-9.03601722076676e-002
3.98107170553498e+002,6.68562860679040e-001,-1.12602109195509e-001
5.01187233627273e+002,6.57961768258636e-001,-1.39513389045025e-001
6.30957344480194e+002,6.41830845520429e-001,-1.71337793020361e-001
7.94328234724283e+002,6.17822075861342e-001,-2.07645968236413e-001
1.00000000000000e+003,5.83238384947843e-001,-2.46802605929704e-001
1.25892541179417e+003,5.35699460743925e-001,-2.85426206951603e-001
1.58489319246112e+003,4.74389806248738e-001,-3.18285767769441e-001
1.99526231496888e+003,4.01510326640591e-001,-3.39274662434313e-001
2.51188643150959e+003,3.22822303950512e-001,-3.43630295499432e-001
3.16227766016839e+003,2.46214306030842e-001,-3.30272485393777e-001
3.98107170553498e+003,1.78788440781625e-001,-3.02396986673930e-001
5.01187233627273e+003,1.24516182166813e-001,-2.65783908810871e-001
6.30957344480195e+003,8.38903823494977e-002,-2.26295209196482e-001
7.94328234724283e+003,5.51066528860373e-002,-1.88248698250834e-001
1.00000000000000e+004,3.55051611864061e-002,-1.54072519741663e-001
1.25892541179417e+004,2.25239504602628e-002,-1.24709281073755e-001
1.58489319246112e+004,1.40981328305492e-002,-1.00188164407744e-001
1.99526231496889e+004,8.71558331625306e-003,-8.00816704889799e-002
2.51188643150959e+004,5.32755470427908e-003,-6.37920435931170e-002
3.16227766016839e+004,3.22741632723364e-003,-5.07030828164004e-002
3.98107170553498e+004,1.94553078113906e-003,-4.02474064287947e-002
5.01187233627274e+004,1.17304149740949e-003,-3.19291548865791e-002
6.30957344480195e+004,7.10706197172639e-004,-2.53277223331563e-002
7.94328234724284e+004,4.33857573426076e-004,-2.00946312177698e-002
1.00000000000000e+005,2.67006181167809e-004,-1.59470166441367e-002
1.25892541179417e+005,1.65501913871149e-004,-1.26587449099883e-002
1.58489319246112e+005,1.03162241552722e-004,-1.00506037064888e-002
1.99526231496889e+005,6.45663236975661e-005,-7.98104692550186e-003
2.51188643150959e+005,4.05238820016122e-005,-6.33830948653626e-003
3.16227766016839e+005,2.54818422762178e-005,-5.03405195286485e-003
3.98107170553499e+005,1.60429307034293e-005,-3.99836118680839e-003
5.01187233627274e+005,1.01083619909785e-005,-3.17584513355613e-003
6.30957344480196e+005,6.37232946634932e-006,-2.52257977329144e-003
7.94328234724285e+005,4.01842604203277e-006,-2.00371424886657e-003
1.00000000000000e+006,2.53456125142549e-006,-1.59158566076446e-003
1.25892541179417e+006,1.59884365654053e-006,-1.26423081769409e-003
1.58489319246112e+006,1.00866016883859e-006,-1.00420891109633e-003
1.99526231496889e+006,6.36364993273428e-007,-7.97668822537790e-004
2.51188643150959e+006,4.01496647565153e-007,-6.33609529508372e-004
3.16227766016839e+006,2.53318292094182e-007,-5.03293268245129e-004
3.98107170553499e+006,1.59829466866763e-007,-3.99779717053441e-004
5.01187233627275e+006,1.00844154631200e-007,-3.17556148381378e-004
6.30957344480196e+006,6.36277941361917e-008,-2.52243730292691e-004
7.94328234724285e+006,4.01461987374903e-008,-2.00364274663414e-004
1.00000000000000e+007,2.53304492568715e-008,-1.59154979374340e-004
