Freq.,IR2),fase
1.00000000000000e+000,-5.01029923895741e+001,-1.79946675045877e+002
4.11566265060241e+001,-5.00908636073727e+001,-1.77808515079654e+002
8.13132530120482e+001,-5.00558601424316e+001,-1.75688453251377e+002
1.21469879518072e+002,-4.99986477339047e+001,-1.73603499296061e+002
1.61626506024096e+002,-4.99202860434372e+001,-1.71569442306725e+002
2.01783132530121e+002,-4.98221706989535e+001,-1.69600376335905e+002
2.41939759036145e+002,-4.97059617132772e+001,-1.67708356745292e+002
2.82096385542169e+002,-4.95735054094261e+001,-1.65903199952779e+002
3.22253012048193e+002,-4.94267566624271e+001,-1.64192422229446e+002
3.62409638554217e+002,-4.92677070772805e+001,-1.62581299767784e+002
4.02566265060241e+002,-4.90983230451857e+001,-1.61073023875339e+002
4.42722891566265e+002,-4.89204958403730e+001,-1.59668921965887e+002
4.82879518072289e+002,-4.87360043363242e+001,-1.58368716123662e+002
5.23036144578313e+002,-4.85464897054977e+001,-1.57170795000913e+002
5.63192771084337e+002,-4.83534406737959e+001,-1.56072480231918e+002
6.03349397590361e+002,-4.81581874956292e+001,-1.55070274227594e+002
6.43506024096386e+002,-4.79619027155532e+001,-1.54160081361097e+002
6.83662650602410e+002,-4.77656068920048e+001,-1.53337398750068e+002
7.23819277108434e+002,-4.75701776895827e+001,-1.52597475962456e+002
7.63975903614458e+002,-4.73763610293811e+001,-1.51935445087799e+002
8.04132530120482e+002,-4.71847832742549e+001,-1.51346423890378e+002
8.44289156626506e+002,-4.69959636887131e+001,-1.50825595392757e+002
8.84445783132530e+002,-4.68103266372091e+001,-1.50368267416220e+002
9.24602409638554e+002,-4.66282131656860e+001,-1.49969915487498e+002
9.64759036144578e+002,-4.64498917512413e+001,-1.49626212231460e+002
1.00491566265060e+003,-4.62755681087091e+001,-1.49333045995520e+002
1.04507228915663e+003,-4.61053940170517e+001,-1.49086531052716e+002
1.08522891566265e+003,-4.59394751789411e+001,-1.48883011343700e+002
1.12538554216867e+003,-4.57778781594032e+001,-1.48719059364138e+002
1.16554216867470e+003,-4.56206364686146e+001,-1.48591471492867e+002
1.20569879518072e+003,-4.54677558636931e+001,-1.48497260790323e+002
1.24585542168675e+003,-4.53192189475364e+001,-1.48433648074500e+002
1.28601204819277e+003,-4.51749891416692e+001,-1.48398051899176e+002
1.32616867469880e+003,-4.50350141062518e+001,-1.48388077911265e+002
1.36632530120482e+003,-4.48992286750598e+001,-1.48401507945996e+002
1.40648192771084e+003,-4.47675573671430e+001,-1.48436289124965e+002
1.44663855421687e+003,-4.46399165305629e+001,-1.48490523148870e+002
1.48679518072289e+003,-4.45162161674227e+001,-1.48562455919795e+002
1.52695180722892e+003,-4.43963614835662e+001,-1.48650467584190e+002
1.56710843373494e+003,-4.42802542009341e+001,-1.48753063054381e+002
1.60726506024096e+003,-4.41677936656886e+001,-1.48868863041400e+002
1.64742168674699e+003,-4.40588777808560e+001,-1.48996595613310e+002
1.68757831325301e+003,-4.39534037883751e+001,-1.49135088279543e+002
1.72773493975904e+003,-4.38512689220514e+001,-1.49283260592070e+002
1.76789156626506e+003,-4.37523709499521e+001,-1.49440117247362e+002
1.80804819277109e+003,-4.36566086222075e+001,-1.49604741668584e+002
1.84820481927711e+003,-4.35638820379508e+001,-1.49776290044564e+002
1.88836144578313e+003,-4.34740929432046e+001,-1.49953985800520e+002
1.92851807228916e+003,-4.33871449698622e+001,-1.50137114474816e+002
1.96867469879518e+003,-4.33029438244807e+001,-1.50325018976048e+002
2.00883132530121e+003,-4.32213974343738e+001,-1.50517095195245e+002
2.04898795180723e+003,-4.31424160574373e+001,-1.50712787948775e+002
2.08914457831325e+003,-4.30659123612306e+001,-1.50911587228595e+002
2.12930120481928e+003,-4.29918014760584e+001,-1.51113024737659e+002
2.16945783132530e+003,-4.29200010261281e+001,-1.51316670689525e+002
2.20961445783133e+003,-4.28504311422807e+001,-1.51522130852514e+002
2.24977108433735e+003,-4.27830144593004e+001,-1.51729043820009e+002
2.28992771084338e+003,-4.27176761003830e+001,-1.51937078489750e+002
2.33008433734940e+003,-4.26543436509748e+001,-1.52145931736168e+002
2.37024096385542e+003,-4.25929471238813e+001,-1.52355326260968e+002
2.41039759036145e+003,-4.25334189172746e+001,-1.52565008608224e+002
2.45055421686747e+003,-4.24756937669906e+001,-1.52774747331319e+002
2.49071084337350e+003,-4.24197086943115e+001,-1.52984331299978e+002
2.53086746987952e+003,-4.23654029502510e+001,-1.53193568136569e+002
2.57102409638554e+003,-4.23127179572121e+001,-1.53402282771676e+002
2.61118072289157e+003,-4.22615972487575e+001,-1.53610316109705e+002
2.65133734939759e+003,-4.22119864081208e+001,-1.53817523796034e+002
2.69149397590362e+003,-4.21638330059926e+001,-1.54023775077847e+002
2.73165060240964e+003,-4.21170865380273e+001,-1.54228951751437e+002
2.77180722891567e+003,-4.20716983624524e+001,-1.54432947189301e+002
2.81196385542169e+003,-4.20276216380912e+001,-1.54635665440905e+002
2.85212048192771e+003,-4.19848112630653e+001,-1.54837020401441e+002
2.89227710843374e+003,-4.19432238143896e+001,-1.55036935043378e+002
2.93243373493976e+003,-4.19028174886385e+001,-1.55235340705984e+002
2.97259036144579e+003,-4.18635520438237e+001,-1.55432176438412e+002
3.01274698795181e+003,-4.18253887425980e+001,-1.55627388392232e+002
3.05290361445783e+003,-4.17882902968716e+001,-1.55820929259684e+002
3.09306024096386e+003,-4.17522208139072e+001,-1.56012757754144e+002
3.13321686746988e+003,-4.17171457439422e+001,-1.56202838129623e+002
3.17337349397591e+003,-4.16830318293686e+001,-1.56391139736339e+002
3.21353012048193e+003,-4.16498470554895e+001,-1.56577636609636e+002
3.25368674698796e+003,-4.16175606028600e+001,-1.56762307089736e+002
3.29384337349398e+003,-4.15861428012088e+001,-1.56945133470009e+002
3.33400000000000e+003,-4.15555650849303e+001,-1.57126101671611e+002
3.37415662650603e+003,-4.15257999501311e+001,-1.57305200942519e+002
3.41431325301205e+003,-4.14968209132059e+001,-1.57482423579132e+002
3.45446987951808e+003,-4.14686024709179e+001,-1.57657764668765e+002
3.49462650602410e+003,-4.14411200619509e+001,-1.57831221851458e+002
3.53478313253012e+003,-4.14143500298999e+001,-1.58002795099674e+002
3.57493975903615e+003,-4.13882695876651e+001,-1.58172486514560e+002
3.61509638554217e+003,-4.13628567832085e+001,-1.58340300137531e+002
3.65525301204820e+003,-4.13380904666376e+001,-1.58506241776044e+002
3.69540963855422e+003,-4.13139502585733e+001,-1.58670318842519e+002
3.73556626506025e+003,-4.12904165197631e+001,-1.58832540205428e+002
3.77572289156627e+003,-4.12674703218984e+001,-1.58992916051655e+002
3.81587951807229e+003,-4.12450934195951e+001,-1.59151457759295e+002
3.85603614457832e+003,-4.12232682234978e+001,-1.59308177780131e+002
