Freq.,IR1,fase
1.00000000000000e+000,-4.68484536199865e+001,-1.63636363591873e-003
4.01706024096386e+003,-4.69052437350102e+001,-6.54475676474793e+000
8.03312048192771e+003,-4.70712358329231e+001,-1.29214916720297e+001
1.20491807228916e+004,-4.73345074744059e+001,-1.89895593036795e+001
1.60652409638554e+004,-4.76781654851755e+001,-2.46467083548088e+001
2.00813012048193e+004,-4.80834612828591e+001,-2.98351601051686e+001
2.40973614457831e+004,-4.85323836566245e+001,-3.45364886173052e+001
2.81134216867470e+004,-4.90092582881952e+001,-3.87615885010249e+001
3.21294819277108e+004,-4.95013943487069e+001,-4.25399855292324e+001
3.61455421686747e+004,-4.99990688263483e+001,-4.59109394796911e+001
4.01616024096386e+004,-5.04951604708151e+001,-4.89171072263321e+001
4.41776626506024e+004,-5.09846609775241e+001,-5.16005547784125e+001
4.81937228915663e+004,-5.14641938537762e+001,-5.40005460765799e+001
5.22097831325301e+004,-5.19315994414975e+001,-5.61525241853683e+001
5.62258433734940e+004,-5.23856021520686e+001,-5.80878224416944e+001
6.02419036144578e+004,-5.28255552541782e+001,-5.98337842741305e+001
6.42579638554217e+004,-5.32512507063667e+001,-6.14140865575047e+001
6.82740240963855e+004,-5.36627801977955e+001,-6.28491439271245e+001
7.22900843373494e+004,-5.40604350150543e+001,-6.41565254032347e+001
7.63061445783132e+004,-5.44446346625174e+001,-6.53513479075010e+001
8.03222048192771e+004,-5.48158764572022e+001,-6.64466307774646e+001
8.43382650602409e+004,-5.51747002720781e+001,-6.74536063178433e+001
8.83543253012048e+004,-5.55216641460089e+001,-6.83819871885771e+001
9.23703855421686e+004,-5.58573276501017e+001,-6.92401941835086e+001
9.63864457831325e+004,-5.61822407675506e+001,-7.00355490218382e+001
1.00402506024096e+005,-5.64969366766011e+001,-7.07744369408426e+001
1.04418566265060e+005,-5.68019272834501e+001,-7.14624435959272e+001
1.08434626506024e+005,-5.70977006806154e+001,-7.21044702975499e+001
1.12450686746988e+005,-5.73847199420143e+001,-7.27048310818219e+001
1.16466746987952e+005,-5.76634228347988e+001,-7.32673345932714e+001
