Freq.,IR2,fase
1.00000000000000e+000,-4.00000000327319e+001,1.79996399999872e+002
4.11566265060241e+001,-4.00000554504289e+001,1.79851827221537e+002
8.13132530120482e+001,-4.00002165244343e+001,1.79707203464428e+002
1.21469879518072e+002,-4.00004834867239e+001,1.79562478936680e+002
1.61626506024096e+002,-4.00008567220701e+001,1.79417603744540e+002
2.01783132530121e+002,-4.00013367690392e+001,1.79272527841827e+002
2.41939759036145e+002,-4.00019243213902e+001,1.79127200979124e+002
2.82096385542169e+002,-4.00026202298797e+001,1.78981572652616e+002
3.22253012048193e+002,-4.00034255044814e+001,1.78835592052489e+002
3.62409638554217e+002,-4.00043413170283e+001,1.78689208010783e+002
4.02566265060241e+002,-4.00053690042895e+001,1.78542368948633e+002
4.42722891566265e+002,-4.00065100714945e+001,1.78395022822786e+002
4.82879518072289e+002,-4.00077661963182e+001,1.78247117071303e+002
5.23036144578313e+002,-4.00091392333460e+001,1.78098598558368e+002
5.63192771084337e+002,-4.00106312190354e+001,1.77949413518084e+002
6.03349397590361e+002,-4.00122443771966e+001,1.77799507497170e+002
6.43506024096386e+002,-4.00139811250156e+001,1.77648825296466e+002
6.83662650602410e+002,-4.00158440796454e+001,1.77497310911133e+002
7.23819277108434e+002,-4.00178360653941e+001,1.77344907469443e+002
7.63975903614458e+002,-4.00199601215416e+001,1.77191557170071e+002
8.04132530120482e+002,-4.00222195108195e+001,1.77037201217761e+002
8.44289156626506e+002,-4.00246177285918e+001,1.76881779757271e+002
8.84445783132530e+002,-4.00271585127782e+001,1.76725231805475e+002
9.24602409638554e+002,-4.00298458545651e+001,1.76567495181522e+002
9.64759036144578e+002,-4.00326840099529e+001,1.76408506434922e+002
1.00491566265060e+003,-4.00356775121944e+001,1.76248200771453e+002
1.04507228915663e+003,-4.00388311851813e+001,1.76086511976767e+002
1.08522891566265e+003,-4.00421501578441e+001,1.75923372337573e+002
1.12538554216867e+003,-4.00456398796328e+001,1.75758712560285e+002
1.16554216867470e+003,-4.00493061371541e+001,1.75592461687000e+002
1.20569879518072e+003,-4.00531550720481e+001,1.75424547008706e+002
1.24585542168675e+003,-4.00571932001912e+001,1.75254893975578e+002
1.28601204819277e+003,-4.00614274323243e+001,1.75083426104262e+002
1.32616867469880e+003,-4.00658650962088e+001,1.74910064882025e+002
1.36632530120482e+003,-4.00705139604274e+001,1.74734729667656e+002
1.40648192771084e+003,-4.00753822599524e+001,1.74557337589025e+002
1.44663855421687e+003,-4.00804787236176e+001,1.74377803437190e+002
1.48679518072289e+003,-4.00858126036410e+001,1.74196039556968e+002
1.52695180722892e+003,-4.00913937073588e+001,1.74011955733897e+002
1.56710843373494e+003,-4.00972324313467e+001,1.73825459077519e+002
1.60726506024096e+003,-4.01033397981162e+001,1.73636453900956e+002
1.64742168674699e+003,-4.01097274955975e+001,1.73444841596734e+002
1.68757831325301e+003,-4.01164079196324e+001,1.73250520508886e+002
1.72773493975904e+003,-4.01233942197251e+001,1.73053385801354e+002
1.76789156626506e+003,-4.01307003483225e+001,1.72853329322778e+002
1.80804819277109e+003,-4.01383411139150e+001,1.72650239467792e+002
1.84820481927711e+003,-4.01463322382823e+001,1.72444001035005e+002
1.88836144578313e+003,-4.01546904182351e+001,1.72234495081913e+002
1.92851807228916e+003,-4.01634333922348e+001,1.72021598777069e+002
1.96867469879518e+003,-4.01725800123149e+001,1.71805185249916e+002
2.00883132530121e+003,-4.01821503217594e+001,1.71585123438811e+002
2.04898795180723e+003,-4.01921656390453e+001,1.71361277937890e+002
2.08914457831325e+003,-4.02026486485967e+001,1.71133508843563e+002
2.12930120481928e+003,-4.02136234989541e+001,1.70901671601615e+002
2.16945783132530e+003,-4.02251159090208e+001,1.70665616856096e+002
2.20961445783133e+003,-4.02371532831077e+001,1.70425190301395e+002
2.24977108433735e+003,-4.02497648355712e+001,1.70180232539215e+002
2.28992771084338e+003,-4.02629817259127e+001,1.69930578942451e+002
2.33008433734940e+003,-4.02768372052930e+001,1.69676059528380e+002
2.37024096385542e+003,-4.02913667755066e+001,1.69416498844011e+002
2.41039759036145e+003,-4.03066083615614e+001,1.69151715866959e+002
2.45055421686747e+003,-4.03226024991204e+001,1.68881523925815e+002
2.49071084337350e+003,-4.03393925381827e+001,1.68605730644693e+002
2.53086746987952e+003,-4.03570248645142e+001,1.68324137917460e+002
2.57102409638554e+003,-4.03755491404813e+001,1.68036541918118e+002
2.61118072289157e+003,-4.03950185671025e+001,1.67742733154926e+002
2.65133734939759e+003,-4.04154901693005e+001,1.67442496577160e+002
2.69149397590362e+003,-4.04370251065281e+001,1.67135611744949e+002
2.73165060240964e+003,-4.04596890111412e+001,1.66821853074387e+002
2.77180722891567e+003,-4.04835523571135e+001,1.66500990172208e+002
2.81196385542169e+003,-4.05086908619203e+001,1.66172788276755e+002
2.85212048192771e+003,-4.05351859246748e+001,1.65837008824767e+002
2.89227710843374e+003,-4.05631251038662e+001,1.65493410166853e+002
2.93243373493976e+003,-4.05926026383351e+001,1.65141748458342e+002
2.97259036144579e+003,-4.06237200154204e+001,1.64781778756736e+002
3.01274698795181e+003,-4.06565865905208e+001,1.64413256362208e+002
3.05290361445783e+003,-4.06913202626323e+001,1.64035938443768e+002
3.09306024096386e+003,-4.07280482107393e+001,1.63649586000850e+002
3.13321686746988e+003,-4.07669076962515e+001,1.63253966218475e+002
3.17337349397591e+003,-4.08080469369697e+001,1.62848855283898e+002
3.21353012048193e+003,-4.08516260583244e+001,1.62434041744077e+002
3.25368674698796e+003,-4.08978181278410e+001,1.62009330496663e+002
3.29384337349398e+003,-4.09468102789114e+001,1.61574547522751e+002
3.33400000000000e+003,-4.09988049299679e+001,1.61129545487880e+002
3.37415662650603e+003,-4.10540211050132e+001,1.60674210359013e+002
3.41431325301205e+003,-4.11126958611022e+001,1.60208469210067e+002
3.45446987951808e+003,-4.11750858277198e+001,1.59732299417594e+002
3.49462650602410e+003,-4.12414688619701e+001,1.59245739482093e+002
3.53478313253012e+003,-4.13121458219414e+001,1.58748901750024e+002
3.57493975903615e+003,-4.13874424584027e+001,1.58241987357816e+002
3.61509638554217e+003,-4.14677114218976e+001,1.57725303773198e+002
3.65525301204820e+003,-4.15533343780719e+001,1.57199285372217e+002
3.69540963855422e+003,-4.16447242183591e+001,1.56664517563998e+002
3.73556626506025e+003,-4.17423273454994e+001,1.56121765061335e+002
3.77572289156627e+003,-4.18466260031990e+001,1.55572004995672e+002
3.81587951807229e+003,-4.19581406057681e+001,1.55016465692312e+002
3.85603614457832e+003,-4.20774320057834e+001,1.54456672058452e+002
3.89619277108434e+003,-4.22051036143300e+001,1.53894498695947e+002
3.93634939759037e+003,-4.23418032573305e+001,1.53332232035673e+002
3.97650602409639e+003,-4.24882246103602e+001,1.52772643004183e+002
4.01666265060241e+003,-4.26451079997469e+001,1.52219071978589e+002
4.05681927710844e+003,-4.28132402849423e+001,1.51675528063179e+002
4.09697590361446e+003,-4.29934534396371e+001,1.51146805028750e+002
4.13713253012049e+003,-4.31866213179031e+001,1.50638616583543e+002
4.17728915662651e+003,-4.33936539143918e+001,1.50157753970892e+002
4.21744578313253e+003,-4.36154881873396e+001,1.49712269167943e+002
4.25760240963856e+003,-4.38530741867890e+001,1.49311687106364e+002
4.29775903614458e+003,-4.41073547874529e+001,1.48967250194283e+002
4.33791566265060e+003,-4.43792367267618e+001,1.48692197715678e+002
4.37807228915663e+003,-4.46695498464597e+001,1.48502080950365e+002
4.41822891566265e+003,-4.49789903800157e+001,1.48415111309635e+002
4.45838554216868e+003,-4.53080427789472e+001,1.48452532135495e+002
4.49854216867470e+003,-4.56568729365175e+001,1.48638993029286e+002
4.53869879518072e+003,-4.60251838768552e+001,1.49002885562463e+002
4.57885542168675e+003,-4.64120234309314e+001,1.49576566572549e+002
