Freq.,V(n002),fase
1.00000000000000e+000,5.74231569333915e-009,6.28318550274976e-005
1.25892541179417e+000,9.10095742716915e-009,7.91006204043392e-005
1.58489319246111e+000,1.44240464152495e-008,9.95817839889952e-005
1.99526231496888e+000,2.28605753426204e-008,1.25366044148508e-004
2.51188643150958e+000,3.62315761928224e-008,1.57826510193434e-004
3.16227766016838e+000,5.74231934223442e-008,1.98691827160652e-004
3.98107170553497e+000,9.10096659278254e-008,2.50138235866931e-004
5.01187233627272e+000,1.44240694382408e-007,3.14905472455668e-004
6.30957344480194e+000,2.28606331738052e-007,3.96442682879954e-004
7.94328234724282e+000,3.62317214583712e-007,4.99092129523736e-004
1.00000000000000e+001,5.74235583136242e-007,6.28320486423657e-004
1.25892541179417e+001,9.10105824961424e-007,7.91010067172578e-004
1.58489319246111e+001,1.44242996709320e-006,9.95825547860851e-004
1.99526231496888e+001,2.28612114967141e-006,1.25367582095579e-003
2.51188643150958e+001,3.62331741578968e-006,1.57829578816086e-003
3.16227766016838e+001,5.74272074017415e-006,1.98697949914644e-003
3.98107170553498e+001,9.10197488772814e-006,2.50150452515406e-003
5.01187233627273e+001,1.44266022757218e-005,3.14929848342540e-003
6.30957344480194e+001,2.28669958321237e-005,3.96491320650107e-003
7.94328234724283e+001,3.62477055579300e-005,4.99189179319010e-003
1.00000000000000e+002,5.74637158214158e-005,6.28514141038906e-003
1.25892541179417e+002,9.11114825281575e-005,7.91396505778613e-003
1.58489319246112e+002,1.44496561382375e-004,9.96596742389477e-003
1.99526231496888e+002,2.29249499877738e-004,1.25521502473780e-002
2.51188643150958e+002,3.63934611066427e-004,1.58136838436538e-002
3.16227766016838e+002,5.78305606317204e-004,1.99311481598221e-002
3.98107170553498e+002,9.20358457433669e-004,2.51376088718772e-002
5.01187233627273e+002,1.46830032874217e-003,3.17379988366446e-002
6.30957344480194e+002,2.35157432934585e-003,4.01394749541998e-002
7.94328234724283e+002,3.78962625982846e-003,5.09019330324781e-002
1.00000000000000e+003,6.16820406423416e-003,6.48274135901082e-002
1.25892541179417e+003,1.02027001542107e-002,8.31279812432801e-002
1.58489319246112e+003,1.73265205213702e-002,1.07757944231804e-001
1.99526231496888e+003,3.07422647684343e-002,1.42092294601805e-001
2.51188643150959e+003,5.87637300506782e-002,1.92215734112409e-001
3.16227766016839e+003,1.27660686419199e-001,2.67337747159241e-001
3.98107170553498e+003,3.33998485869058e-001,3.43611656484692e-001
5.01187233627273e+003,6.87271769636995e-001,1.25242279389685e-002
6.30957344480195e+003,3.46730952533474e-001,-3.43737074552620e-001
7.94328234724283e+003,1.31758495325770e-001,-2.70598714789919e-001
1.00000000000000e+004,6.02866676815703e-002,-1.94454626406603e-001
1.25892541179417e+004,3.14271999619508e-002,-1.43591542496042e-001
1.58489319246112e+004,1.76759713778068e-002,-1.08810800741898e-001
1.99526231496889e+004,1.03956709135767e-002,-8.38984730453458e-002
2.51188643150959e+004,6.28017305288007e-003,-6.54077854714630e-002
3.16227766016839e+004,3.85664373512594e-003,-5.13475302911386e-002
3.98107170553498e+004,2.39247718980480e-003,-4.04858508727069e-002
5.01187233627274e+004,1.49357317982928e-003,-3.20093861279644e-002
6.30957344480195e+004,9.36095242870420e-004,-2.53513156496796e-002
7.94328234724284e+004,5.88152442018562e-004,-2.00999721540282e-002
1.00000000000000e+005,3.70114967693538e-004,-1.59473212546809e-002
1.25892541179417e+005,2.33136129494372e-004,-1.26580700176806e-002
1.58489319246112e+005,1.46943732926138e-004,-1.00499862649694e-002
1.99526231496889e+005,9.26535062938353e-005,-7.98064539400061e-003
2.51188643150959e+005,5.84358569601592e-005,-6.33807832948843e-003
3.16227766016839e+005,3.68607628758031e-005,-5.03392647555314e-003
3.98107170553499e+005,2.32536806067187e-005,-3.99829522214873e-003
5.01187233627274e+005,1.46705328341434e-005,-3.17581109308157e-003
6.30957344480196e+005,9.25586434924870e-006,-2.52256240142511e-003
7.94328234724285e+005,5.83981033916727e-006,-2.00370544362007e-003
1.00000000000000e+006,3.68457359208322e-006,-1.59158121642430e-003
1.25892541179417e+006,2.32476990244322e-006,-1.26422858035033e-003
1.58489319246112e+006,1.46681517132741e-006,-1.00420778663624e-003
1.99526231496889e+006,9.25491645566045e-007,-7.97668257981894e-004
2.51188643150959e+006,5.83943298791479e-007,-6.33609246246743e-004
3.16227766016839e+006,3.68442336885340e-007,-5.03293126178886e-004
3.98107170553499e+006,2.32471009825421e-007,-3.99779645820302e-004
5.01187233627275e+006,1.46679136304082e-007,-3.17556112670324e-004
6.30957344480196e+006,9.25482167364132e-008,-2.52243712391631e-004
7.94328234724285e+006,5.83939525463314e-008,-2.00364265690639e-004
1.00000000000000e+007,3.68440834699354e-008,-1.59154974876986e-004
