Freq.,IR2,fase
1.00000000000000e+000,-4.00000000327319e+001,-3.60000012798838e-003
1.00925288607668e+000,-4.00000000333404e+001,-3.63331052145021e-003
1.01859138805412e+000,-4.00000000339602e+001,-3.66692913225518e-003
1.02801629812647e+000,-4.00000000345916e+001,-3.70085881230516e-003
1.03752841581801e+000,-4.00000000352347e+001,-3.73510243989037e-003
1.04712854805090e+000,-4.00000000358898e+001,-3.76966291993356e-003
1.05681750921366e+000,-4.00000000365570e+001,-3.80454318423650e-003
1.06659612123026e+000,-4.00000000372367e+001,-3.83974619172861e-003
1.07646521362984e+000,-4.00000000379289e+001,-3.87527492871801e-003
1.08642562361707e+000,-4.00000000386341e+001,-3.91113240914486e-003
1.09647819614319e+000,-4.00000000393524e+001,-3.94732167483702e-003
1.10662378397767e+000,-4.00000000400840e+001,-3.98384579576810e-003
1.11686324778056e+000,-4.00000000408292e+001,-4.02070787031791e-003
1.12719745617551e+000,-4.00000000415883e+001,-4.05791102553525e-003
1.13762728582343e+000,-4.00000000423614e+001,-4.09545841740325e-003
1.14815362149688e+000,-4.00000000431490e+001,-4.13335323110704e-003
1.15877735615513e+000,-4.00000000439512e+001,-4.17159868130398e-003
1.16949939101987e+000,-4.00000000447683e+001,-4.21019801239639e-003
1.18032063565173e+000,-4.00000000456006e+001,-4.24915449880671e-003
1.19124200802738e+000,-4.00000000464484e+001,-4.28847144525536e-003
1.20226443461741e+000,-4.00000000473119e+001,-4.32815218704101e-003
1.21338885046498e+000,-4.00000000481915e+001,-4.36820009032358e-003
1.22461619926505e+000,-4.00000000490875e+001,-4.40861855240976e-003
1.23594743344451e+000,-4.00000000500001e+001,-4.44941100204121e-003
1.24738351424295e+000,-4.00000000509297e+001,-4.49058089968545e-003
1.25892541179417e+000,-4.00000000518765e+001,-4.53213173782941e-003
1.27057410520854e+000,-4.00000000528410e+001,-4.57406704127569e-003
1.28233058265602e+000,-4.00000000538233e+001,-4.61639036744160e-003
1.29419584144999e+000,-4.00000000548240e+001,-4.65910530666091e-003
1.30617088813184e+000,-4.00000000558433e+001,-4.70221548248846e-003
1.31825673855641e+000,-4.00000000568815e+001,-4.74572455200753e-003
1.33045441797809e+000,-4.00000000579390e+001,-4.78963620614009e-003
1.34276496113787e+000,-4.00000000590161e+001,-4.83395416995992e-003
1.35518941235104e+000,-4.00000000601133e+001,-4.87868220300857e-003
1.36772882559585e+000,-4.00000000612309e+001,-4.92382409961435e-003
1.38038426460289e+000,-4.00000000623693e+001,-4.96938368921415e-003
1.39315680294531e+000,-4.00000000635288e+001,-5.01536483667837e-003
1.40604752412992e+000,-4.00000000647099e+001,-5.06177144263872e-003
1.41905752168910e+000,-4.00000000659129e+001,-5.10860744381915e-003
1.43218789927355e+000,-4.00000000671384e+001,-5.15587681336981e-003
1.44543977074593e+000,-4.00000000683866e+001,-5.20358356120410e-003
1.45881426027535e+000,-4.00000000696580e+001,-5.25173173433884e-003
1.47231250243272e+000,-4.00000000709530e+001,-5.30032541723759e-003
1.48593564228701e+000,-4.00000000722721e+001,-5.34936873215712e-003
1.49968483550238e+000,-4.00000000736157e+001,-5.39886583949715e-003
1.51356124843621e+000,-4.00000000749844e+001,-5.44882093815327e-003
1.52756605823808e+000,-4.00000000763784e+001,-5.49923826587314e-003
1.54170045294957e+000,-4.00000000777984e+001,-5.55012209961598e-003
1.55596563160508e+000,-4.00000000792448e+001,-5.60147675591541e-003
1.57036280433356e+000,-4.00000000807181e+001,-5.65330659124563e-003
1.58489319246112e+000,-4.00000000822187e+001,-5.70561600239098e-003
1.59955802861468e+000,-4.00000000837473e+001,-5.75840942681895e-003
1.61435855682649e+000,-4.00000000853043e+001,-5.81169134305660e-003
1.62929603263973e+000,-4.00000000868902e+001,-5.86546627107051e-003
1.64437172321494e+000,-4.00000000885056e+001,-5.91973877265017e-003
1.65958690743757e+000,-4.00000000901510e+001,-5.97451345179505e-003
1.67494287602645e+000,-4.00000000918271e+001,-6.02979495510510e-003
1.69044093164327e+000,-4.00000000935343e+001,-6.08558797217496e-003
1.70608238900313e+000,-4.00000000952732e+001,-6.14189723599179e-003
1.72186857498602e+000,-4.00000000970445e+001,-6.19872752333678e-003
1.73780082874938e+000,-4.00000000988487e+001,-6.25608365519040e-003
1.75388050184177e+000,-4.00000001006864e+001,-6.31397049714133e-003
1.77010895831743e+000,-4.00000001025583e+001,-6.37239295979927e-003
1.78648757485206e+000,-4.00000001044650e+001,-6.43135599921149e-003
1.80301774085958e+000,-4.00000001064071e+001,-6.49086461728328e-003
1.81970085860999e+000,-4.00000001083854e+001,-6.55092386220229e-003
1.83653834334836e+000,-4.00000001104004e+001,-6.61153882886675e-003
1.85353162341482e+000,-4.00000001124529e+001,-6.67271465931770e-003
1.87068214036581e+000,-4.00000001145436e+001,-6.73445654317523e-003
1.88799134909630e+000,-4.00000001166731e+001,-6.79676971807869e-003
1.90546071796326e+000,-4.00000001188422e+001,-6.85965947013106e-003
1.92309172891017e+000,-4.00000001210517e+001,-6.92313113434735e-003
1.94088587759279e+000,-4.00000001233022e+001,-6.98719009510720e-003
1.95884467350600e+000,-4.00000001255945e+001,-7.05184178661167e-003
1.97696964011187e+000,-4.00000001279295e+001,-7.11709169334421e-003
1.99526231496889e+000,-4.00000001303079e+001,-7.18294535053596e-003
2.01372424986240e+000,-4.00000001327305e+001,-7.24940834463531e-003
2.03235701093623e+000,-4.00000001351982e+001,-7.31648631378180e-003
2.05116217882558e+000,-4.00000001377117e+001,-7.38418494828447e-003
2.07014134879106e+000,-4.00000001402719e+001,-7.45250999110454e-003
2.08929613085405e+000,-4.00000001428798e+001,-7.52146723834263e-003
2.10862814993330e+000,-4.00000001455361e+001,-7.59106253973046e-003
2.12813904598273e+000,-4.00000001482418e+001,-7.66130179912712e-003
2.14783047413055e+000,-4.00000001509979e+001,-7.73219097501989e-003
2.16770410481971e+000,-4.00000001538051e+001,-7.80373608102974e-003
2.18776162394957e+000,-4.00000001566646e+001,-7.87594318642149e-003
2.20800473301892e+000,-4.00000001595772e+001,-7.94881841661867e-003
2.22843514927032e+000,-4.00000001625440e+001,-8.02236795372320e-003
2.24905460583580e+000,-4.00000001655659e+001,-8.09659803703981e-003
2.26986485188384e+000,-4.00000001686440e+001,-8.17151496360536e-003
2.29086765276779e+000,-4.00000001717793e+001,-8.24712508872304e-003
2.31206479017561e+000,-4.00000001749729e+001,-8.32343482650154e-003
2.33345806228102e+000,-4.00000001782259e+001,-8.40045065039914e-003
2.35504928389603e+000,-4.00000001815394e+001,-8.47817909377292e-003
2.37684028662490e+000,-4.00000001849144e+001,-8.55662675043301e-003
2.39883291901951e+000,-4.00000001883523e+001,-8.63580027520197e-003
2.42102904673620e+000,-4.00000001918540e+001,-8.71570638447934e-003
2.44343055269399e+000,-4.00000001954208e+001,-8.79635185681142e-003
2.46603933723436e+000,-4.00000001990540e+001,-8.87774353346635e-003
2.48885731828241e+000,-4.00000002027547e+001,-8.95988831901446e-003
2.51188643150960e+000,-4.00000002065242e+001,-9.04279318191405e-003
2.53512863049793e+000,-4.00000002103637e+001,-9.12646515510252e-003
2.55858588690567e+000,-4.00000002142747e+001,-9.21091133659305e-003
2.58226019063462e+000,-4.00000002182584e+001,-9.29613889007674e-003
2.60615354999892e+000,-4.00000002223161e+001,-9.38215504553032e-003
2.63026799189541e+000,-4.00000002264492e+001,-9.46896709982957e-003
2.65460556197556e+000,-4.00000002306593e+001,-9.55658241736827e-003
2.67916832481906e+000,-4.00000002349475e+001,-9.64500843068306e-003
2.70395836410887e+000,-4.00000002393155e+001,-9.73425264108387e-003
2.72897778280807e+000,-4.00000002437648e+001,-9.82432261929041e-003
2.75422870333819e+000,-4.00000002482967e+001,-9.91522600607435e-003
2.77971326775932e+000,-4.00000002529129e+001,-1.00069705129076e-002
2.80543363795174e+000,-4.00000002576149e+001,-1.00995639226164e-002
2.83139199579941e+000,-4.00000002624043e+001,-1.01930140900418e-002
2.85759054337497e+000,-4.00000002672827e+001,-1.02873289427058e-002
2.88403150312663e+000,-4.00000002722519e+001,-1.03825164814840e-002
2.91071711806663e+000,-4.00000002773135e+001,-1.04785847812845e-002
2.93764965196156e+000,-4.00000002824691e+001,-1.05755419917325e-002
2.96483138952437e+000,-4.00000002877206e+001,-1.06733963378623e-002
2.99226463660822e+000,-4.00000002930697e+001,-1.07721561208146e-002
3.01995172040205e+000,-4.00000002985183e+001,-1.08718297185410e-002
3.04789498962802e+000,-4.00000003040682e+001,-1.09724255865146e-002
3.07609681474074e+000,-4.00000003097212e+001,-1.10739522584474e-002
3.10455958812839e+000,-4.00000003154794e+001,-1.11764183470143e-002
3.13328572431562e+000,-4.00000003213446e+001,-1.12798325445838e-002
3.16227766016841e+000,-4.00000003273188e+001,-1.13842036239554e-002
3.19153785510080e+000,-4.00000003334041e+001,-1.14895404391038e-002
3.22106879128347e+000,-4.00000003396026e+001,-1.15958519259300e-002
3.25087297385438e+000,-4.00000003459163e+001,-1.17031471030197e-002
3.28095293113123e+000,-4.00000003523473e+001,-1.18114350724080e-002
3.31131121482595e+000,-4.00000003588980e+001,-1.19207250203521e-002
3.34195040026118e+000,-4.00000003655704e+001,-1.20310262181101e-002
3.37287308658873e+000,-4.00000003723669e+001,-1.21423480227279e-002
3.40408189701005e+000,-4.00000003792897e+001,-1.22546998778330e-002
3.43557947899879e+000,-4.00000003863412e+001,-1.23680913144355e-002
3.46736850452536e+000,-4.00000003935238e+001,-1.24825319517369e-002
3.49945167028361e+000,-4.00000004008400e+001,-1.25980314979461e-002
3.53183169791961e+000,-4.00000004082922e+001,-1.27145997511030e-002
3.56451133426249e+000,-4.00000004158829e+001,-1.28322465999099e-002
3.59749335155747e+000,-4.00000004236148e+001,-1.29509820245702e-002
3.63078054770106e+000,-4.00000004314903e+001,-1.30708160976352e-002
3.66437574647838e+000,-4.00000004395124e+001,-1.31917589848590e-002
3.69828179780271e+000,-4.00000004476835e+001,-1.33138209460603e-002
3.73250157795725e+000,-4.00000004560066e+001,-1.34370123359934e-002
3.76703798983914e+000,-4.00000004644844e+001,-1.35613436052264e-002
3.80189396320566e+000,-4.00000004731198e+001,-1.36868253010280e-002
3.83707245492284e+000,-4.00000004819158e+001,-1.38134680682622e-002
3.87257644921622e+000,-4.00000004908753e+001,-1.39412826502914e-002
3.90840895792407e+000,-4.00000005000013e+001,-1.40702798898881e-002
3.94457302075284e+000,-4.00000005092971e+001,-1.42004707301543e-002
3.98107170553503e+000,-4.00000005187656e+001,-1.43318662154508e-002
4.01790810848945e+000,-4.00000005284102e+001,-1.44644774923331e-002
4.05508535448389e+000,-4.00000005382341e+001,-1.45983158104981e-002
4.09260659730016e+000,-4.00000005482406e+001,-1.47333925237378e-002
4.13047501990167e+000,-4.00000005584332e+001,-1.48697190909031e-002
4.16869383470341e+000,-4.00000005688152e+001,-1.50073070768756e-002
4.20726628384450e+000,-4.00000005793903e+001,-1.51461681535492e-002
4.24619563946319e+000,-4.00000005901620e+001,-1.52863141008198e-002
4.28548520397446e+000,-4.00000006011339e+001,-1.54277568075852e-002
4.32513831035015e+000,-4.00000006123099e+001,-1.55705082727537e-002
4.36515832240172e+000,-4.00000006236936e+001,-1.57145806062621e-002
4.40554863506560e+000,-4.00000006352889e+001,-1.58599860301029e-002
4.44631267469115e+000,-4.00000006470998e+001,-1.60067368793617e-002
4.48745389933139e+000,-4.00000006591304e+001,-1.61548456032633e-002
4.52897579903627e+000,-4.00000006713845e+001,-1.63043247662283e-002
4.57088189614882e+000,-4.00000006838665e+001,-1.64551870489389e-002
4.61317574560386e+000,-4.00000006965806e+001,-1.66074452494149e-002
4.65586093522966e+000,-4.00000007095310e+001,-1.67611122840995e-002
4.69894108605222e+000,-4.00000007227222e+001,-1.69162011889550e-002
4.74241985260252e+000,-4.00000007361586e+001,-1.70727251205694e-002
4.78630092322646e+000,-4.00000007498448e+001,-1.72306973572718e-002
4.83058802039780e+000,-4.00000007637855e+001,-1.73901313002600e-002
4.87528490103394e+000,-4.00000007779854e+001,-1.75510404747366e-002
4.92039535681459e+000,-4.00000007924492e+001,-1.77134385310572e-002
4.96592321450344e+000,-4.00000008071820e+001,-1.78773392458885e-002
5.01187233627280e+000,-4.00000008221886e+001,-1.80427565233768e-002
5.05824662003122e+000,-4.00000008374743e+001,-1.82097043963282e-002
5.10504999975414e+000,-4.00000008530441e+001,-1.83781970273990e-002
5.15228644581765e+000,-4.00000008689034e+001,-1.85482487102974e-002
5.19995996533524e+000,-4.00000008850576e+001,-1.87198738709962e-002
5.24807460249781e+000,-4.00000009015121e+001,-1.88930870689572e-002
5.29663443891666e+000,-4.00000009182725e+001,-1.90679029983659e-002
5.34564359396980e+000,-4.00000009353445e+001,-1.92443364893789e-002
5.39510622515136e+000,-4.00000009527339e+001,-1.94224025093820e-002
5.44502652842430e+000,-4.00000009704465e+001,-1.96021161642599e-002
5.49540873857634e+000,-4.00000009884885e+001,-1.97834926996784e-002
5.54625712957920e+000,-4.00000010068659e+001,-1.99665475023778e-002
5.59757601495120e+000,-4.00000010255850e+001,-2.01512961014783e-002
5.64936974812312e+000,-4.00000010446521e+001,-2.03377541697978e-002
5.70164272280757e+000,-4.00000010640737e+001,-2.05259375251819e-002
5.75439937337167e+000,-4.00000010838564e+001,-2.07158621318458e-002
5.80764417521322e+000,-4.00000011040068e+001,-2.09075441017292e-002
5.86138164514039e+000,-4.00000011245319e+001,-2.11009996958630e-002
5.91561634175484e+000,-4.00000011454385e+001,-2.12962453257497e-002
5.97035286583847e+000,-4.00000011667339e+001,-2.14932975547552e-002
6.02559586074368e+000,-4.00000011884251e+001,-2.16921730995151e-002
6.08135001278728e+000,-4.00000012105197e+001,-2.18928888313525e-002
6.13762005164805e+000,-4.00000012330250e+001,-2.20954617777100e-002
6.19441075076792e+000,-4.00000012559487e+001,-2.22999091235942e-002
6.25172692775697e+000,-4.00000012792986e+001,-2.25062482130345e-002
6.30957344480204e+000,-4.00000013030826e+001,-2.27144965505543e-002
6.36795520907927e+000,-4.00000013273088e+001,-2.29246718026565e-002
6.42687717317031e+000,-4.00000013519854e+001,-2.31367917993229e-002
6.48634433548250e+000,-4.00000013771207e+001,-2.33508745355269e-002
6.54636174067287e+000,-4.00000014027234e+001,-2.35669381727604e-002
6.60693448007608e+000,-4.00000014288021e+001,-2.37850010405756e-002
6.66806769213634e+000,-4.00000014553656e+001,-2.40050816381396e-002
6.72976656284330e+000,-4.00000014824229e+001,-2.42271986358046e-002
6.79203632617197e+000,-4.00000015099833e+001,-2.44513708766926e-002
6.85488226452674e+000,-4.00000015380561e+001,-2.46776173782938e-002
6.91830970918949e+000,-4.00000015666508e+001,-2.49059573340807e-002
6.98232404077185e+000,-4.00000015957771e+001,-2.51364101151370e-002
7.04693068967160e+000,-4.00000016254449e+001,-2.53689952718015e-002
7.11213513653343e+000,-4.00000016556643e+001,-2.56037325353269e-002
7.17794291271375e+000,-4.00000016864455e+001,-2.58406418195545e-002
7.24435960075004e+000,-4.00000017177990e+001,-2.60797432226041e-002
7.31139083483431e+000,-4.00000017497354e+001,-2.63210570285794e-002
7.37904230129115e+000,-4.00000017822656e+001,-2.65646037092898e-002
7.44731973906003e+000,-4.00000018154005e+001,-2.68104039259875e-002
7.51622894018220e+000,-4.00000018491515e+001,-2.70584785311211e-002
7.58577575029199e+000,-4.00000018835299e+001,-2.73088485701049e-002
7.65596606911271e+000,-4.00000019185475e+001,-2.75615352831055e-002
7.72680585095718e+000,-4.00000019542161e+001,-2.78165601068441e-002
7.79830110523274e+000,-4.00000019905479e+001,-2.80739446764157e-002
7.87045789695114e+000,-4.00000020275551e+001,-2.83337108271256e-002
7.94328234724298e+000,-4.00000020652503e+001,-2.85958805963423e-002
8.01678063387695e+000,-4.00000021036464e+001,-2.88604762253680e-002
8.09095899178399e+000,-4.00000021427563e+001,-2.91275201613261e-002
8.16582371358609e+000,-4.00000021825933e+001,-2.93970350590665e-002
8.24138115013019e+000,-4.00000022231709e+001,-2.96690437830883e-002
8.31763771102688e+000,-4.00000022645030e+001,-2.99435694094802e-002
8.39459986519415e+000,-4.00000023066034e+001,-3.02206352278797e-002
8.47227414140614e+000,-4.00000023494866e+001,-3.05002647434491e-002
8.55066712884701e+000,-4.00000023931671e+001,-3.07824816788710e-002
8.62978547766988e+000,-4.00000024376596e+001,-3.10673099763616e-002
8.70963589956099e+000,-4.00000024829794e+001,-3.13547737997028e-002
8.79022516830903e+000,-4.00000025291416e+001,-3.16448975362938e-002
8.87156012037980e+000,-4.00000025761622e+001,-3.19377057992200e-002
8.95364765549613e+000,-4.00000026240569e+001,-3.22332234293434e-002
9.03649473722321e+000,-4.00000026728420e+001,-3.25314754974102e-002
9.12010839355929e+000,-4.00000027225342e+001,-3.28324873061794e-002
9.20449571753191e+000,-4.00000027731502e+001,-3.31362843925702e-002
9.28966386779957e+000,-4.00000028247073e+001,-3.34428925298303e-002
9.37562006925901e+000,-4.00000028772228e+001,-3.37523377297229e-002
9.46237161365814e+000,-4.00000029307147e+001,-3.40646462447354e-002
9.54992586021457e+000,-4.00000029852012e+001,-3.43798445703076e-002
9.63829023623992e+000,-4.00000030407006e+001,-3.46979594470807e-002
9.72747223776987e+000,-4.00000030972318e+001,-3.50190178631679e-002
9.81747943020006e+000,-4.00000031548141e+001,-3.53430470564448e-002
9.90831944892790e+000,-4.00000032134669e+001,-3.56700745168621e-002
1.00000000000002e+001,-4.00000032732101e+001,-3.60001279887791e-002
1.00925288607671e+001,-4.00000033340641e+001,-3.63332354733192e-002
1.01859138805414e+001,-4.00000033960495e+001,-3.66694252307469e-002
1.02801629812650e+001,-4.00000034591872e+001,-3.70087257828669e-002
1.03752841581804e+001,-4.00000035234989e+001,-3.73511659154462e-002
1.04712854805092e+001,-4.00000035890061e+001,-3.76967746806570e-002
1.05681750921368e+001,-4.00000036557313e+001,-3.80455813995441e-002
1.06659612123028e+001,-4.00000037236970e+001,-3.83976156645137e-002
1.07646521362986e+001,-4.00000037929263e+001,-3.87529073418465e-002
1.08642562361709e+001,-4.00000038634427e+001,-3.91114865742326e-002
1.09647819614321e+001,-4.00000039352701e+001,-3.94733837833320e-002
1.10662378397769e+001,-4.00000040084329e+001,-3.98386296723562e-002
1.11686324778059e+001,-4.00000040829559e+001,-4.02072552286765e-002
1.12719745617554e+001,-4.00000041588644e+001,-4.05792917264542e-002
1.13762728582346e+001,-4.00000042361842e+001,-4.09547707292966e-002
1.14815362149691e+001,-4.00000043149415e+001,-4.13337240929370e-002
1.15877735615515e+001,-4.00000043951631e+001,-4.17161839679397e-002
1.16949939101990e+001,-4.00000044768761e+001,-4.21021828024301e-002
1.18032063565176e+001,-4.00000045601083e+001,-4.24917533448505e-002
1.19124200802740e+001,-4.00000046448879e+001,-4.28849286467402e-002
1.20226443461744e+001,-4.00000047312438e+001,-4.32817420655433e-002
1.21338885046501e+001,-4.00000048192051e+001,-4.36822272674407e-002
1.22461619926508e+001,-4.00000049088019e+001,-4.40864182302097e-002
1.23594743344454e+001,-4.00000050000643e+001,-4.44943492461091e-002
1.24738351424297e+001,-4.00000050930235e+001,-4.49060549247920e-002
1.25892541179420e+001,-4.00000051877110e+001,-4.53215701962452e-002
1.27057410520857e+001,-4.00000052841589e+001,-4.57409303137553e-002
1.28233058265605e+001,-4.00000053824000e+001,-4.61641708569036e-002
1.29419584145002e+001,-4.00000054824675e+001,-4.65913277345874e-002
1.30617088813187e+001,-4.00000055843955e+001,-4.70224371880707e-002
1.31825673855644e+001,-4.00000056882185e+001,-4.74575357940617e-002
1.33045441797813e+001,-4.00000057939718e+001,-4.78966604678204e-002
1.34276496113790e+001,-4.00000059016912e+001,-4.83398484662938e-002
1.35518941235107e+001,-4.00000060114133e+001,-4.87871373912809e-002
1.36772882559588e+001,-4.00000061231754e+001,-4.92385651926269e-002
