Freq.,IV,fase
1.00000000000000e+000,4.40364022934749e+001,9.00016363637005e+001
1.00925288607668e+000,4.39564022871657e+001,9.00016515047886e+001
1.01859138805412e+000,4.38764022807392e+001,9.00016667859755e+001
1.02801629812647e+000,4.37964022741932e+001,9.00016822085575e+001
1.03752841581801e+000,4.37164022675255e+001,9.00016977738430e+001
1.04712854805090e+000,4.36364022607338e+001,9.00017134831523e+001
1.05681750921366e+000,4.35564022538159e+001,9.00017293378181e+001
1.06659612123026e+000,4.34764022467693e+001,9.00017453391853e+001
1.07646521362984e+000,4.33964022395918e+001,9.00017614886114e+001
1.08642562361707e+000,4.33164022322808e+001,9.00017777874664e+001
1.09647819614319e+000,4.32364022248339e+001,9.00017942371328e+001
1.10662378397767e+000,4.31564022172485e+001,9.00018108390062e+001
1.11686324778056e+000,4.30764022095222e+001,9.00018275944948e+001
1.12719745617551e+000,4.29964022016521e+001,9.00018445050202e+001
1.13762728582343e+000,4.29164021936358e+001,9.00018615720167e+001
1.14815362149688e+000,4.28364021854704e+001,9.00018787969323e+001
1.15877735615513e+000,4.27564021771532e+001,9.00018961812281e+001
1.16949939101987e+000,4.26764021686814e+001,9.00019137263788e+001
1.18032063565173e+000,4.25964021600521e+001,9.00019314338729e+001
1.19124200802738e+000,4.25164021512624e+001,9.00019493052125e+001
1.20226443461741e+000,4.24364021423092e+001,9.00019673419136e+001
1.21338885046498e+000,4.23564021331896e+001,9.00019855455063e+001
1.22461619926505e+000,4.22764021239005e+001,9.00020039175348e+001
1.23594743344451e+000,4.21964021144386e+001,9.00020224595577e+001
1.24738351424295e+000,4.21164021048009e+001,9.00020411731478e+001
1.25892541179417e+000,4.20364020949839e+001,9.00020600598928e+001
1.27057410520854e+000,4.19564020849845e+001,9.00020791213947e+001
1.28233058265602e+000,4.18764020747991e+001,9.00020983592705e+001
1.29419584144999e+000,4.17964020644244e+001,9.00021177751524e+001
1.30617088813184e+000,4.17164020538568e+001,9.00021373706872e+001
1.31825673855641e+000,4.16364020430928e+001,9.00021571475373e+001
1.33045441797809e+000,4.15564020321286e+001,9.00021771073805e+001
1.34276496113787e+000,4.14764020209606e+001,9.00021972519099e+001
1.35518941235104e+000,4.13964020095849e+001,9.00022175828344e+001
1.36772882559585e+000,4.13164019979978e+001,9.00022381018788e+001
1.38038426460289e+000,4.12364019861952e+001,9.00022588107836e+001
1.39315680294531e+000,4.11564019741732e+001,9.00022797113056e+001
1.40604752412992e+000,4.10764019619278e+001,9.00023008052178e+001
1.41905752168910e+000,4.09964019494546e+001,9.00023220943097e+001
1.43218789927355e+000,4.09164019367496e+001,9.00023435803873e+001
1.44543977074593e+000,4.08364019238083e+001,9.00023652652732e+001
1.45881426027535e+000,4.07564019106265e+001,9.00023871508069e+001
1.47231250243272e+000,4.06764018971996e+001,9.00024092388451e+001
1.48593564228701e+000,4.05964018835230e+001,9.00024315312615e+001
1.49968483550238e+000,4.05164018695922e+001,9.00024540299472e+001
1.51356124843621e+000,4.04364018554024e+001,9.00024767368108e+001
1.52756605823808e+000,4.03564018409488e+001,9.00024996537785e+001
1.54170045294957e+000,4.02764018262265e+001,9.00025227827945e+001
