Freq.,IR1,fase
1.00000000000000e+000,-1.04036410588306e+002 ,-9.00997072514157e+001
1.25892541179417e+000,-1.02036415241399e+002 ,-9.00997072514157e+001
1.58489319246111e+000,-1.00036422616043e+002 ,-9.01255239230289e+001
1.99526231496888e+000,-9.80364343040411e+001 ,-9.01580251177820e+001
2.51188643150958e+000,-9.60364528282053e+001 ,-9.01989415597213e+001
3.16227766016838e+000,-9.40364821868655e+001 ,-9.02504520327975e+001
3.98107170553497e+000,-9.20365287168000e+001 ,-9.03152993267569e+001
5.01187233627272e+000,-9.00366024607563e+001 ,-9.03969361364973e+001
6.30957344480194e+000,-8.80367193344880e+001 ,-9.04997086030690e+001
7.94328234724282e+000,-8.60369045604334e+001 ,-9.06290871079866e+001
1.00000000000000e+001,-8.40371981076073e+001 ,-9.07919562872717e+001
1.25892541179417e+001,-8.20376633079236e+001 ,-9.09969790630329e+001
1.58489319246111e+001,-8.00384004987756e+001 ,-9.12550527899537e+001
1.99526231496888e+001,-7.80395686115138e+001 ,-9.15798792410503e+001
2.51188643150958e+001,-7.60414193027060e+001 ,-9.19886736773518e+001
3.16227766016838e+001,-7.40443508375747e+001 ,-9.25030406085208e+001
3.98107170553498e+001,-7.20489929614060e+001 ,-9.31500427508014e+001
5.01187233627273e+001,-7.00563400924517e+001 ,-9.39634803434651e+001
6.30957344480194e+001,-6.80679591334780e+001 ,-9.49853708699811e+001
7.94328234724283e+001,-6.60863106925013e+001 ,-9.62675561114517e+001
1.00000000000000e+002,-6.41152381828039e+001 ,-9.78732311906663e+001
1.25892541179417e+002,-6.21606944650776e+001 ,-9.98779334007141e+001
1.58489319246112e+002,-6.02317781017314e+001 ,-1.02369068399831e+002
1.99526231496888e+002,-5.83421099482472e+001 ,-1.05442317787771e+002
2.51188643150958e+002,-5.65114330989696e+001 ,-1.09192337083952e+002
3.16227766016838e+002,-5.47669738925905e+001 ,-1.13694576003709e+002
3.98107170553498e+002,-5.31435196672755e+001 ,-1.18976423096784e+002
5.01187233627273e+002,-5.16806144067843e+001 ,-1.24981773965523e+002
6.30957344480194e+002,-5.04156235552477e+001 ,-1.31544260412487e+002
7.94328234724283e+002,-4.93737325063066e+001 ,-1.38393117594510e+002
1.00000000000000e+003,-4.85594424317874e+001 ,-1.45205781470784e+002
1.25892541179417e+003,-4.79550007157109e+001 ,-1.51689326719911e+002
1.58489319246112e+003,-4.75269193915246e+001 ,-1.57648116260972e+002
1.99526231496888e+003,-4.72362220781958e+001 ,-1.63007439087930e+002
2.51188643150959e+003,-4.70470044650204e+001 ,-1.67796970526967e+002
3.16227766016839e+003,-4.69309574160646e+001 ,-1.72117280106377e+002
3.98107170553498e+003,-4.68685393723819e+001 ,-1.76108829592739e+002
5.01187233627273e+003,-4.68484994019321e+001 ,-1.79930968466236e+002
6.30957344480195e+003,-4.68671107924807e+001 ,1.76249939522695e+002
7.94328234724283e+003,-4.69278364589148e+001 ,1.72267420762384e+002
1.00000000000000e+004,-4.70416411811667e+001 ,1.67961706388859e+002
1.25892541179417e+004,-4.72277513488998e+001 ,1.63191343077658e+002
1.58489319246112e+004,-4.75141623835751e+001 ,1.57853817341048e+002
1.99526231496889e+004,-4.79365566239203e+001 ,1.51916257124159e+002
2.51188643150959e+004,-4.85339265874240e+001 ,1.45449105044551e+002
3.16227766016839e+004,-4.93401433656788e+001 ,1.38643716320792e+002
3.98107170553498e+004,-5.03736871160409e+001 ,1.31790445631204e+002
5.01187233627274e+004,-5.16308926206122e+001 ,1.25212259798603e+002
6.30957344480195e+004,-5.30872063327844e+001 ,1.19183005482229e+002
7.94328234724284e+004,-5.47055223829334e+001 ,1.13873224126741e+002
1.00000000000000e+005,-5.64462285379658e+001 ,1.09342687276932e+002
1.25892541179417e+005,-5.82742923731545e+001 ,1.05566415859022e+002
1.58489319246112e+005,-6.01622014023598e+001 ,1.02470140751404e+002
1.99526231496889e+005,-6.20899601467242e+001 ,9.99595236751239e+001
2.51188643150959e+005,-6.40437534458293e+001 ,9.79387129617327e+001
3.16227766016839e+005,-6.60143442336029e+001 ,9.63199129521984e+001
3.98107170553499e+005,-6.79956853769173e+001 ,9.50271331000189e+001
5.01187233627274e+005,-6.99838710914834e+001 ,9.39967409324264e+001
6.30957344480196e+005,-7.19764002263448e+001 ,9.31765067088918e+001
7.94328234724285e+005,-7.39716798141387e+001 ,9.25240838582498e+001
1.00000000000000e+006,-7.59686987957801e+001 ,9.20054000609635e+001
1.25892541179417e+006,-7.79668168479594e+001 ,9.15931710673333e+001
1.58489319246112e+006,-7.99656289998055e+001 ,9.12656136652114e+001
1.99526231496889e+006,-8.19648793512429e+001 ,9.10053692695699e+001
2.51188643150959e+006,-8.39644062884497e+001 ,9.07986215696626e+001
3.16227766016839e+006,-8.59641077795150e+001 ,9.06343818831155e+001
3.98107170553499e+006,-8.79639194225623e+001 ,9.05039145693640e+001
5.01187233627275e+006,-8.99638005731602e+001 ,9.04002771429677e+001
6.30957344480196e+006,-9.19637255825851e+001 ,9.03179532271159e+001
7.94328234724285e+006,-9.39636782660652e+001 ,9.02525601229043e+001
1.00000000000000e+007,-9.59636484110946e+001 ,9.02006160864450e+001
1.25892541179417e+007,-9.79636295737760e+001 ,9.01593552470838e+001
1.58489319246112e+007,-9.99636176881896e+001 ,9.01265804851496e+001
1.99526231496889e+007,-1.01963610188875e+002 ,9.01005465100080e+001
2.51188643150959e+007,-1.03963605457120e+002 ,9.00798669600554e+001
3.16227766016839e+007,-1.05963602471583e+002 ,9.00634405959680e+001
3.98107170553499e+007,-1.07963600587834e+002 ,9.00503926635180e+001
5.01187233627275e+007,-1.09963599399269e+002 ,9.00400283191757e+001
6.30957344480196e+007,-1.11963598649335e+002 ,9.00317956266984e+001
7.94328234724286e+007,-1.13963598176159e+002 ,9.00252561637715e+001
1.00000000000000e+008,-1.15963597877605e+002 ,9.00200616852195e+001
