Freq.,IR2,fase
1.00000000000000e+000,-1.04036419810011e+002,-9.01152001682365e+001
1.00230523807790e+000,-1.04016419926879e+002,-9.01154657916770e+001
1.00461579027840e+000,-1.03996419995955e+002,-9.01157319595426e+001
1.00693166885180e+000,-1.03976420084213e+002,-9.01159987306798e+001
1.00925288607668e+000,-1.03956420141470e+002,-9.01162661306418e+001
1.01157945425990e+000,-1.03936420234776e+002,-9.01165341212985e+001
1.01391138573668e+000,-1.03916420314537e+002,-9.01168027920511e+001
1.01624869287070e+000,-1.03896420409199e+002,-9.01170721043892e+001
1.01859138805412e+000,-1.03876420508620e+002,-9.01173419880571e+001
1.02093948370768e+000,-1.03856420602985e+002,-9.01176124369749e+001
1.02329299228075e+000,-1.03836420682795e+002,-9.01178836033444e+001
1.02565192625141e+000,-1.03816420777222e+002,-9.01181553538400e+001
1.02801629812647e+000,-1.03796420838948e+002,-9.01184277766350e+001
1.03038612044162e+000,-1.03776420897627e+002,-9.01187007078858e+001
1.03276140576140e+000,-1.03756420982839e+002,-9.01189743616364e+001
1.03514216667934e+000,-1.03736421086217e+002,-9.01192486055186e+001
1.03752841581801e+000,-1.03716421199696e+002,-9.01195234957248e+001
1.03992016582906e+000,-1.03696421277744e+002,-9.01197990565150e+001
1.04231742939330e+000,-1.03676421313209e+002,-9.01200751567758e+001
1.04472021922080e+000,-1.03656421449641e+002,-9.01203519773454e+001
1.04712854805090e+000,-1.03636421529376e+002,-9.01206294174847e+001
1.04954242865232e+000,-1.03616421583602e+002,-9.01209075017418e+001
1.05196187382322e+000,-1.03596421680812e+002,-9.01211862546425e+001
1.05438689639126e+000,-1.03576421777336e+002,-9.01214656076713e+001
1.05681750921366e+000,-1.03556421867310e+002,-9.01217456157766e+001
1.05925372517729e+000,-1.03536421945182e+002,-9.01220262110480e+001
1.06169555719872e+000,-1.03516422079677e+002,-9.01223075706451e+001
1.06414301822431e+000,-1.03496422154569e+002,-9.01225895038034e+001
1.06659612123026e+000,-1.03476422165416e+002,-9.01228720954516e+001
1.06905487922266e+000,-1.03456422328591e+002,-9.01231553399391e+001
1.07151930523761e+000,-1.03436422382038e+002,-9.01234392291664e+001
1.07398941234124e+000,-1.03416422432193e+002,-9.01237236966406e+001
1.07646521362983e+000,-1.03396422584713e+002,-9.01240090376742e+001
1.07894672222983e+000,-1.03376422689703e+002,-9.01242948828665e+001
1.08143395129794e+000,-1.03356422707812e+002,-9.01245814060521e+001
1.08392691402120e+000,-1.03336422854064e+002,-9.01248685415891e+001
1.08642562361706e+000,-1.03316423016230e+002,-9.01251565210246e+001
1.08893009333343e+000,-1.03296423011267e+002,-9.01254449484591e+001
1.09144033644876e+000,-1.03276423125953e+002,-9.01257341466123e+001
1.09395636627209e+000,-1.03256423285562e+002,-9.01260240482379e+001
1.09647819614318e+000,-1.03236423308820e+002,-9.01263144383899e+001
1.09900583943252e+000,-1.03216423445287e+002,-9.01266057254610e+001
1.10153930954141e+000,-1.03196423550218e+002,-9.01268975766495e+001
1.10407861990207e+000,-1.03176423693904e+002,-9.01271900742023e+001
1.10662378397766e+000,-1.03156423733207e+002,-9.01274832983814e+001
1.10917481526240e+000,-1.03136423845371e+002,-9.01277771843941e+001
1.11173172728159e+000,-1.03116423923521e+002,-9.01280716956431e+001
1.11429453359173e+000,-1.03096423967769e+002,-9.01283669417977e+001
1.11686324778056e+000,-1.03076424084029e+002,-9.01286628580164e+001
1.11943788346715e+000,-1.03056424237086e+002,-9.01289594081896e+001
1.12201845430196e+000,-1.03036424322237e+002,-9.01292567294400e+001
1.12460497396692e+000,-1.03016424375755e+002,-9.01295547566624e+001
1.12719745617551e+000,-1.02996424538400e+002,-9.01298533684182e+001
1.12979591467280e+000,-1.02976424602084e+002,-9.01301527292688e+001
1.13240036323556e+000,-1.02956424638479e+002,-9.01304527176135e+001
1.13501081567231e+000,-1.02936424822668e+002,-9.01307534133625e+001
1.13762728582343e+000,-1.02916424913934e+002,-9.01310548079194e+001
1.14024978756117e+000,-1.02896425018578e+002,-9.01313569799476e+001
1.14287833478977e+000,-1.02876425139063e+002,-9.01316597799303e+001
1.14551294144553e+000,-1.02856425243745e+002,-9.01319632858523e+001
1.14815362149688e+000,-1.02836425301522e+002,-9.01322674902483e+001
1.15080038894443e+000,-1.02816425452528e+002,-9.01325724148536e+001
1.15345325782109e+000,-1.02796425495228e+002,-9.01328780230667e+001
1.15611224219210e+000,-1.02776425671981e+002,-9.01331843091150e+001
1.15877735615512e+000,-1.02756425748460e+002,-9.01334913205101e+001
1.16144861384034e+000,-1.02736425864853e+002,-9.01337990785218e+001
1.16412602941049e+000,-1.02716425924060e+002,-9.01341075193401e+001
1.16680961706096e+000,-1.02696426065817e+002,-9.01344166643862e+001
1.16949939101987e+000,-1.02676426193648e+002,-9.01347265335224e+001
