Freq.,IR1,fase
1.00000000000000e+000,-1.04036410588306e+002,-9.00792003126821e+001
1.00230523807790e+000,-1.04016410625027e+002,-9.00793828880398e+001
1.00461579027840e+000,-1.03996410661917e+002,-9.00795658842756e+001
1.00693166885180e+000,-1.03976410698977e+002,-9.00797493023598e+001
1.00925288607668e+000,-1.03956410736209e+002,-9.00799331432648e+001
1.01157945425990e+000,-1.03936410773612e+002,-9.00801174079653e+001
1.01391138573668e+000,-1.03916410811189e+002,-9.00803020974382e+001
1.01624869287070e+000,-1.03896410848938e+002,-9.00804872126628e+001
1.01859138805412e+000,-1.03876410886862e+002,-9.00806727546204e+001
1.02093948370768e+000,-1.03856410924961e+002,-9.00808587242949e+001
1.02329299228075e+000,-1.03836410963235e+002,-9.00810451226721e+001
1.02565192625141e+000,-1.03816411001687e+002,-9.00812319507403e+001
1.02801629812647e+000,-1.03796411040315e+002,-9.00814192094901e+001
1.03038612044162e+000,-1.03776411079123e+002,-9.00816068999143e+001
1.03276140576140e+000,-1.03756411118109e+002,-9.00817950230079e+001
1.03514216667934e+000,-1.03736411157275e+002,-9.00819835797684e+001
1.03752841581801e+000,-1.03716411196622e+002,-9.00821725711954e+001
1.03992016582906e+000,-1.03696411236151e+002,-9.00823619982910e+001
1.04231742939330e+000,-1.03676411275862e+002,-9.00825518620595e+001
1.04472021922080e+000,-1.03656411315756e+002,-9.00827421635074e+001
1.04712854805090e+000,-1.03636411355834e+002,-9.00829329036437e+001
1.04954242865232e+000,-1.03616411396098e+002,-9.00831240834798e+001
1.05196187382322e+000,-1.03596411436547e+002,-9.00833157040291e+001
1.05438689639126e+000,-1.03576411477183e+002,-9.00835077663077e+001
1.05681750921366e+000,-1.03556411518007e+002,-9.00837002713338e+001
1.05925372517729e+000,-1.03536411559019e+002,-9.00838932201280e+001
1.06169555719872e+000,-1.03516411600220e+002,-9.00840866137133e+001
1.06414301822431e+000,-1.03496411641612e+002,-9.00842804531151e+001
1.06659612123026e+000,-1.03476411683194e+002,-9.00844747393611e+001
1.06905487922266e+000,-1.03456411724969e+002,-9.00846694734812e+001
1.07151930523761e+000,-1.03436411766936e+002,-9.00848646565081e+001
1.07398941234124e+000,-1.03416411809097e+002,-9.00850602894764e+001
1.07646521362983e+000,-1.03396411851453e+002,-9.00852563734234e+001
1.07894672222983e+000,-1.03376411894004e+002,-9.00854529093888e+001
1.08143395129794e+000,-1.03356411936752e+002,-9.00856498984144e+001
1.08392691402120e+000,-1.03336411979696e+002,-9.00858473415447e+001
1.08642562361706e+000,-1.03316412022840e+002,-9.00860452398265e+001
1.08893009333343e+000,-1.03296412066182e+002,-9.00862435943091e+001
1.09144033644876e+000,-1.03276412109724e+002,-9.00864424060440e+001
1.09395636627209e+000,-1.03256412153467e+002,-9.00866416760854e+001
1.09647819614318e+000,-1.03236412197413e+002,-9.00868414054896e+001
1.09900583943252e+000,-1.03216412241561e+002,-9.00870415953157e+001
1.10153930954141e+000,-1.03196412285912e+002,-9.00872422466250e+001
1.10407861990207e+000,-1.03176412330469e+002,-9.00874433604813e+001
1.10662378397766e+000,-1.03156412375231e+002,-9.00876449379509e+001
1.10917481526240e+000,-1.03136412420200e+002,-9.00878469801026e+001
1.11173172728159e+000,-1.03116412465376e+002,-9.00880494880074e+001
1.11429453359173e+000,-1.03096412510761e+002,-9.00882524627391e+001
1.11686324778056e+000,-1.03076412556355e+002,-9.00884559053738e+001
1.11943788346715e+000,-1.03056412602160e+002,-9.00886598169901e+001
1.12201845430196e+000,-1.03036412648177e+002,-9.00888641986691e+001
1.12460497396692e+000,-1.03016412694405e+002,-9.00890690514944e+001
1.12719745617551e+000,-1.02996412740847e+002,-9.00892743765521e+001
1.12979591467280e+000,-1.02976412787504e+002,-9.00894801749308e+001
1.13240036323556e+000,-1.02956412834375e+002,-9.00896864477216e+001
1.13501081567231e+000,-1.02936412881463e+002,-9.00898931960181e+001
1.13762728582343e+000,-1.02916412928769e+002,-9.00901004209164e+001
1.14024978756117e+000,-1.02896412976293e+002,-9.00903081235152e+001
1.14287833478977e+000,-1.02876413024036e+002,-9.00905163049157e+001
1.14551294144553e+000,-1.02856413071999e+002,-9.00907249662217e+001
1.14815362149688e+000,-1.02836413120184e+002,-9.00909341085394e+001
1.15080038894443e+000,-1.02816413168592e+002,-9.00911437329776e+001
1.15345325782109e+000,-1.02796413217222e+002,-9.00913538406478e+001
1.15611224219210e+000,-1.02776413266078e+002,-9.00915644326639e+001
1.15877735615512e+000,-1.02756413315158e+002,-9.00917755101424e+001
1.16144861384034e+000,-1.02736413364466e+002,-9.00919870742024e+001
1.16412602941049e+000,-1.02716413414001e+002,-9.00921991259655e+001
1.16680961706096e+000,-1.02696413463764e+002,-9.00924116665561e+001
1.16949939101987e+000,-1.02676413513757e+002,-9.00926246971009e+001
1.17219536554813e+000,-1.02656413563981e+002,-9.00928382187295e+001
1.17489755493953e+000,-1.02636413614437e+002,-9.00930522325738e+001
1.17760597352080e+000,-1.02616413665126e+002,-9.00932667397685e+001
1.18032063565173e+000,-1.02596413716049e+002,-9.00934817414509e+001
1.18304155572516e+000,-1.02576413767206e+002,-9.00936972387609e+001
1.18576874816716e+000,-1.02556413818600e+002,-9.00939132328410e+001
1.18850222743702e+000,-1.02536413870231e+002,-9.00941297248364e+001
