time,I(C1)
0.000000000000000e+000,0.000000e+000
2.561174600191101e-007,9.191517e-009
5.122349200382202e-007,3.364970e-008
7.683523800573303e-007,7.337455e-008
1.024469840076441e-006,1.283661e-007
1.280587300095551e-006,1.986243e-007
1.536704760114661e-006,2.841491e-007
1.792822220133770e-006,3.849406e-007
2.252436261788294e-006,5.974222e-007
2.832924168395490e-006,9.252177e-007
3.574179308462449e-006,1.433945e-006
4.522004653175261e-006,2.219353e-006
5.747319622728993e-006,3.435169e-006
7.343423331640187e-006,5.311488e-006
9.455007135059091e-006,8.212451e-006
1.229707592864675e-005,1.269531e-005
1.623016308187891e-005,1.960447e-005
2.056606185796261e-005,2.778232e-005
2.847456258772576e-005,4.377897e-005
3.749882175170070e-005,6.200849e-005
5.554734007965060e-005,9.693949e-005
8.091671349005740e-005,1.412693e-004
1.276923530315785e-004,2.110199e-004
1.782098042323683e-004,2.712388e-004
2.548150911517803e-004,3.388592e-004
3.447121313868425e-004,3.930195e-004
4.758739689801162e-004,4.414338e-004
6.113793504793879e-004,4.690430e-004
7.945145114463151e-004,4.866503e-004
1.000379191125299e-003,4.948928e-004
1.298375727394010e-003,4.986553e-004
1.000000000000000e-002,5.000000e-004
1.000998167752074e-002,4.866926e-004
1.002994503256220e-002,4.528404e-004
1.005810821144052e-002,3.998386e-004
1.009223770505728e-002,3.400318e-004
1.012297621455379e-002,2.949437e-004
1.018445323354683e-002,2.235203e-004
1.026421931736161e-002,1.538021e-004
1.034411357422590e-002,1.049479e-004
1.042915948514709e-002,6.970128e-005
1.050766491519813e-002,4.768136e-005
1.058970473416983e-002,3.215348e-005
1.066854915164679e-002,2.199685e-005
1.075055128360932e-002,1.483681e-005
1.083001829958530e-002,1.011887e-005
1.091161527109510e-002,6.836522e-006
1.099132172448867e-002,4.657854e-006
1.107264095448917e-002,3.150956e-006
1.115257943077706e-002,2.144625e-006
1.123371242474211e-002,1.451986e-006
1.131381278343387e-002,9.875507e-007
1.139480301617075e-002,6.690292e-007
1.147502215392162e-002,4.547942e-007
1.155590910773603e-002,3.082473e-007
1.163621646335520e-002,2.094593e-007
1.171702709595349e-002,1.420139e-007
1.179739958665332e-002,9.647304e-008
1.187815364025587e-002,6.542533e-008
1.195857457991178e-002,4.443530e-008
1.203928650401662e-002,3.014041e-008
1.211974353382964e-002,2.046736e-008
1.220042384657530e-002,1.388493e-008
1.236156401215994e-002,6.396362e-009
1.251124379436789e-002,4.084164e-009
1.266092357657583e-002,2.240093e-009
1.281060335878377e-002,8.641484e-010
1.296028314099171e-002,-4.366968e-011
1.310996292319966e-002,-4.833612e-010
1.325964270540760e-002,-4.549261e-010
1.340932248761554e-002,4.163554e-011
2.394924509893790e-002,1.551713e-017
3.000000000000000e-002,-1.#IND00e+000
