time,I(C1)
0.000000000000000e+000,0.000000e+000
1.772804536065405e-007,9.379742e-009
3.545609072130810e-007,3.275926e-008
5.318413608196214e-007,7.013854e-008
7.091218144261619e-007,1.215176e-007
8.864022680327024e-007,1.868964e-007
1.063682721639243e-006,2.662750e-007
1.240963175245783e-006,3.596534e-007
1.560314076394538e-006,5.556125e-007
1.973209501048604e-006,8.628339e-007
2.498268239285401e-006,1.333144e-006
3.183750595773685e-006,2.065730e-006
4.076424046245022e-006,3.190898e-006
5.268882462127084e-006,4.937977e-006
6.882008921268297e-006,7.634157e-006
9.142769973187660e-006,1.184398e-005
1.243713760803695e-005,1.847165e-005
2.000000000000000e-005,3.442811e-005
2.463088337820116e-005,4.422620e-005
2.992332152471676e-005,5.516189e-005
4.050819781774797e-005,7.611146e-005
6.167795040381039e-005,1.147734e-004
9.701004719592701e-005,1.716750e-004
1.425931550743694e-004,2.327880e-004
2.056999909995479e-004,2.987547e-004
2.861195836415516e-004,3.594772e-004
3.952124182887579e-004,4.136048e-004
5.276573101479912e-004,4.525797e-004
6.853372477501928e-004,4.768481e-004
8.762109846778448e-004,4.902317e-004
1.119677778389321e-003,4.967150e-004
1.912134040849102e-003,4.999143e-004
1.000000000000000e-002,5.000010e-004
1.001130820489750e-002,4.808957e-004
1.006170356524204e-002,3.861501e-004
1.009527991180992e-002,3.309745e-004
1.013720748522390e-002,2.737468e-004
1.019509528411398e-002,2.104066e-004
1.025988150563931e-002,1.566293e-004
1.034213502282618e-002,1.069922e-004
1.041502739721084e-002,7.595773e-005
1.049914297350744e-002,5.126912e-005
1.057413320296806e-002,3.597275e-005
1.065503383970548e-002,2.458515e-005
1.072648442795501e-002,1.755971e-005
1.080642905336080e-002,1.205980e-005
1.087427729237924e-002,8.761970e-006
1.095375996741526e-002,6.033302e-006
1.101810986240040e-002,4.455462e-006
1.109689767968433e-002,3.078625e-006
1.115746369943935e-002,2.314158e-006
1.123552492008269e-002,1.604796e-006
1.129201324230577e-002,1.229662e-006
1.136960752839234e-002,8.548388e-007
1.142203510730827e-002,6.676522e-007
1.149964826583344e-002,4.648291e-007
1.155149917619170e-002,3.639401e-007
1.162816129034360e-002,2.545694e-007
1.168001667207102e-002,1.993570e-007
1.175613829915475e-002,1.398032e-007
1.180809687286750e-002,1.094474e-007
1.188407976098225e-002,7.680132e-008
1.193613533759735e-002,6.010220e-008
1.201220165657762e-002,4.215786e-008
1.206432488938047e-002,3.298118e-008
1.219271753001318e-002,1.808071e-008
1.232129189939832e-002,9.903292e-009
1.252660799058090e-002,3.792613e-009
1.275384228773284e-002,2.211766e-009
1.298107658488479e-002,9.773959e-010
1.320831088203673e-002,8.950220e-011
1.343554517918868e-002,-4.519147e-010
1.366277947634063e-002,-6.468550e-010
1.389001377349257e-002,-4.953185e-010
1.411724807064452e-002,2.694710e-012
2.456331752526878e-002,7.526931e-017
3.000000000000000e-002,-1.#IND00e+000
